status_id,permalink,post_type,sharetext,headline,link,full_picture,created_time,date,hour,page_total_likes,page_new_likes,post_impressions,post_reach,post_reach_fan_unique,post_reach_viral_unique,comments_on_post,likes_on_post,shares_on_post,total_comments,total_likes,total_shares,comments_on_shares,likes_on_shares,shares_on_shares,link_clicks,photo_view,video_play,other_clicks,post_negative_feedback,post_story_adds,post_stories,post_storytellers,post_consumptions,post_engaged_users,post_engaged_fan,post_video_complete_views_30s_autoplayed,post_video_complete_views_30s_clicked_to_play,post_video_complete_views_30s_organic,post_video_complete_views_30s_paid,post_video_complete_views_30s_unique,post_video_avg_time_watched,post_video_complete_views_organic_unique,post_video_length,post_video_views,post_video_views_autoplayed,post_video_views_clicked_to_play,post_video_views_10s_unique,post_video_views_10s_autoplayed,post_video_views_10s_clicked_to_play,post_video_views_10s_sound_on,post_video_views_sound_on,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40
1405630409737397_1819416851692082,https://www.facebook.com/1405630409737397_1819416851692082,photo,"Thank you, suegrita.",,https://www.facebook.com/wearemitu/photos/a.1405639273069844.1073741828.1405630409737397/1819416781692089/?type=3,https://scontent.xx.fbcdn.net/v/t1.0-9/p720x720/20914229_1819416781692089_2414460879566588077_n.jpg?oh=5e5adf274762c722fc295e03c188f1d2&oe=5A271315,21/08/2017 4:00,21/08/2017,4:00,NA,NA,324301,221517,200347,22181,255,3200,247,472,3560,269,217,360,22,9,1227,0,1693,18,4301,4301,4097,2929,5853,5026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1405630409737397_1819417568358677,https://www.facebook.com/1405630409737397_1819417568358677,photo,Accurate.,,https://www.facebook.com/wearemitu/photos/a.1405639273069844.1073741828.1405630409737397/1819417511692016/?type=3,https://scontent.xx.fbcdn.net/v/t1.0-9/p720x720/20953498_1819417511692016_4992959411100969631_n.jpg?oh=2ed8b597dd63374586b3931a6acfdbd7&oe=5A25012A,21/08/2017 6:00,21/08/2017,6:00,NA,NA,1393259,883916,556555,341335,2186,14539,3552,5462,24829,3664,3276,10290,112,52,6230,0,10450,43,33955,33955,29971,16732,37970,23978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1405630409737397_1819142708386163,https://www.facebook.com/1405630409737397_1819142708386163,link,"This gives me so much anxiety, but I can't look away.","This New Trailer For ""Riverdale"" Is Only 30 Seconds Long, But Fans Are Freaking Out About It",https://wearemitu.com/entertainment/this-new-trailer-for-riverdale-is-only-30-seconds-long-but-fans-are-freaking-out-about-it/,https://external.xx.fbcdn.net/safe_image.php?d=AQDTwhX-KkZMLMbR&url=https%3A%2F%2Fdd2d9j2i66w9u.cloudfront.net%2Fwp-content%2Fuploads%2F2017%2F08%2F19122002%2Friverdale-hero1.jpg&_nc_hash=AQA0gp92ncNYelfg,21/08/2017 7:00,21/08/2017,7:00,NA,NA,116715,76700,73279,971,38,129,16,51,139,16,13,10,0,1190,41,0,544,10,206,206,192,1775,1677,1588,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1405630409737397_1819416165025484,https://www.facebook.com/1405630409737397_1819416165025484,photo,<f0><U+009F><U+0098><U+0082><f0><U+009F><U+0098><U+0082><f0><U+009F><U+0098><U+0082> Latina moms and the eclipse.,,https://www.facebook.com/wearemitu/photos/a.1405639273069844.1073741828.1405630409737397/1819415981692169/?type=3,https://scontent.xx.fbcdn.net/v/t1.0-9/p720x720/20994341_1819415981692169_7375697175565446786_n.jpg?oh=33ed82fd9d784f41ce38afa9b3114b8f&oe=5A2A9258,21/08/2017 8:00,21/08/2017,8:00,NA,NA,788538,524128,411428,103480,742,6985,814,1761,8715,859,1019,1730,45,112,3273,0,12615,43,11335,11335,10258,16000,20442,16292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1405630409737397_1819563975010703,https://www.facebook.com/1405630409737397_1819563975010703,link,We are so much more powerful than any stereotype.,Fierce by mitú,https://fierce.wearemitu.com/calladitas-no-more/these-photos-put-the-curvy-latina-stereotype-to-rest-once-and-for-all/,https://external.xx.fbcdn.net/safe_image.php?d=AQC9FvYzX_VavcpP&url=https%3A%2F%2Fdd2d9j2i66w9u.cloudfront.net%2Fwp-content%2Fuploads%2Fsites%2F2%2F2017%2F08%2F18234159%2Fcurvy-latina-stereotype_720.jpg&_nc_hash=AQBRW7pGQUostx4Q,21/08/2017 9:00,21/08/2017,9:00,NA,NA,217601,146770,141614,1554,11,243,0,20,251,0,9,8,0,3244,21,0,1207,21,271,271,262,4472,4053,3815,3,0,3,0,3,0,3,0,7,7,0,3,3,0,1,1,1,1,0.8,0.8,0.8,1,1,1,1,1,1,1,1,1,1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.4,0.4,0.4,0.4
1405630409737397_1819568745010226,https://www.facebook.com/1405630409737397_1819568745010226,video,Even Cinderella hates to saludar.,,https://www.facebook.com/wearemitu/videos/1819568745010226/,https://scontent.xx.fbcdn.net/v/t15.0-10/p720x720/21014288_1819569168343517_2506695256435589120_n.jpg?oh=11159e9baee69c825ac5e9288364f827&oe=5A18BF34,21/08/2017 10:00,21/08/2017,10:00,NA,NA,1985249,1201308,821063,271904,880,6328,2458,1589,8462,2489,709,2134,31,144,185,13353,72165,84,12540,12540,10560,85847,69855,46112,87907,9811,97718,0,97718,11851,61184,92329,321488,309077,12411,165573,154324,11249,94295,116368,0.5297,1,0.7861,0.6463,0.5374,0.4578,0.4219,0.3973,0.3715,0.3571,0.3403,0.3238,0.3132,0.3058,0.2981,0.2931,0.287,0.2826,0.2751,0.268,0.2605,0.2556,0.2511,0.2479,0.245,0.2419,0.2392,0.2369,0.2349,0.2317,0.2263,0.2225,0.2196,0.2168,0.2155,0.2142,0.2114,0.2096,0.1915,0.0986,0.0267
1405630409737397_1819106851723082,https://www.facebook.com/1405630409737397_1819106851723082,link,You won't hear these songs the same way again.,11 Spanish-Language Songs You Grew Up On That Were Originally English-Language Hits,https://wearemitu.com/no-pos-wow/11-spanish-language-songs-you-grew-up-on-that-were-originally-english-language-hits/,https://external.xx.fbcdn.net/safe_image.php?d=AQDGUqR9J7VFmxzR&url=https%3A%2F%2Fdd2d9j2i66w9u.cloudfront.net%2Fwp-content%2Fuploads%2F2017%2F08%2F18172418%2Fricky-martin-selena.jpg&_nc_hash=AQABe7Y98deLyq6q,21/08/2017 11:00,21/08/2017,11:00,NA,NA,439531,297165,267324,19518,66,977,180,152,1090,184,86,113,4,12987,31,0,2949,31,1426,1426,1275,15967,14303,13303,36,9,45,0,44,0,28,0,136,126,10,78,70,9,40,45,0.5078,1,0.8984,0.7422,0.6563,0.5625,0.5156,0.4844,0.4453,0.4297,0.4297,0.4141,0.375,0.375,0.375,0.375,0.3516,0.3438,0.3359,0.3281,0.3125,0.3047,0.2969,0.2891,0.2813,0.2656,0.2656,0.2578,0.2578,0.2344,0.2266,0.2266,0.2266,0.2266,0.2266,0.2266,0.2266,0.2266,0.2031,0.1016,0.0625
1405630409737397_1819620265005074,https://www.facebook.com/1405630409737397_1819620265005074,photo,<f0><U+009F><U+0098><U+0092>,,https://www.facebook.com/wearemitu/photos/a.1405639273069844.1073741828.1405630409737397/1819620208338413/?type=3,https://scontent.xx.fbcdn.net/v/t1.0-9/p720x720/20953879_1819620208338413_5711753537396844173_n.jpg?oh=76fd3c75145111537149ef1501dedd26&oe=5A278A1F,21/08/2017 12:00,21/08/2017,12:00,NA,NA,1416211,905303,574023,340257,2394,17304,3663,4856,26636,3774,2462,9332,111,179,6668,0,11464,82,35266,35266,30492,18311,41370,27384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1405630409737397_1819657821667985,https://www.facebook.com/1405630409737397_1819657821667985,link,'My dad legit cancelled his appointment this morning because he didn't want to be caught outside during the eclipse.',This Is What A Latino Household Is Like On The Day Of The Solar Eclipse,https://wearemitu.com/identities/this-is-what-a-latino-household-looks-like-on-the-day-of-the-solar-eclipse/,https://external.xx.fbcdn.net/safe_image.php?d=AQDAcZuFgK1ItsUl&url=https%3A%2F%2Fdd2d9j2i66w9u.cloudfront.net%2Fwp-content%2Fuploads%2F2017%2F08%2F21125942%2Feclipse_hero_final_480.jpg&_nc_hash=AQDDOTG0IBKC2KIB,21/08/2017 13:00,21/08/2017,13:00,NA,NA,1650936,1071557,695923,341847,1752,8232,2116,3979,11910,2171,2227,3678,55,46614,34,0,24356,130,18060,18060,15161,71004,63276,44217,8,2,10,0,8,0,9,0,52,50,2,12,12,2,5,10,0.5333,0.6,0.5333,1,0.9778,1,0.9778,0.9778,0.9778,0.9778,0.9556,0.9556,0.9556,0.6889,0.6889,0.6222,0.6222,0.5778,0.5778,0.5556,0.4889,0.4889,0.4889,0.4667,0.4667,0.4222,0.4222,0.3556,0.3333,0.3111,0.3111,0.3111,0.2444,0.2444,0.2444,0.2444,0.2444,0.2222,0.2222,0.1111,0.1111
1405630409737397_1819670315000069,https://www.facebook.com/1405630409737397_1819670315000069,video,Footage from the eclipse most people didn't get to see.  <f0><U+009F><U+0098><U+00B3>,,https://www.facebook.com/wearemitu/videos/1819670315000069/,https://scontent.xx.fbcdn.net/v/t15.0-10/p720x720/21033940_1819670638333370_8849478430610161664_n.jpg?oh=e2f9509dcbfcffd1b259f2681d4499f1&oe=5A29A39D,21/08/2017 14:00,21/08/2017,14:00,NA,NA,1348113,849776,639616,205898,1496,10280,2672,2545,13550,2739,1049,3270,67,145,208,16365,32618,66,18834,18834,16498,49336,44297,33164,10678,1279,11957,0,11883,5362,11781,24361,311005,295398,15607,103267,96679,8116,30601,68854,0.4999,1,0.9976,0.9917,0.9659,0.9086,0.8091,0.743,0.6533,0.5468,0.4587,0.3556,0.3062,0.2781,0.2206,0.1767,0.1483,0.1237,0.1,0.0857,0.0722,0.0637,0.058,0.0524,0.0481,0.044,0.0408,0.0371,0.0135,,,,,,,,,,,,
