"status_id","permalink","post_type","sharetext","headline","link","full_picture","created_time","date","hour","page_total_likes","page_new_likes","post_impressions","post_reach","post_reach_fan_unique","post_reach_viral_unique","comments_on_post","likes_on_post","shares_on_post","total_comments","total_likes","total_shares","comments_on_shares","likes_on_shares","shares_on_shares","link_clicks","photo_view","video_play","other_clicks","post_negative_feedback","post_story_adds","post_stories","post_storytellers","post_consumptions","post_engaged_users","post_engaged_fan","post_video_complete_views_30s_autoplayed","post_video_complete_views_30s_clicked_to_play","post_video_complete_views_30s_organic","post_video_complete_views_30s_paid","post_video_complete_views_30s_unique","post_video_avg_time_watched","post_video_complete_views_organic_unique","post_video_length","post_video_views","post_video_views_autoplayed","post_video_views_clicked_to_play","post_video_views_10s_unique","post_video_views_10s_autoplayed","post_video_views_10s_clicked_to_play","post_video_views_10s_sound_on","post_video_views_sound_on","s0","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12","s13","s14","s15","s16","s17","s18","s19","s20","s21","s22","s23","s24","s25","s26","s27","s28","s29","s30","s31","s32","s33","s34","s35","s36","s37","s38","s39","s40"
"1405630409737397_1826285931005174","https://www.facebook.com/1405630409737397_1826285931005174","link","ICE wants to become less transparent about what is happen in their facilities.","The ACLU Is Warning Everyone About ICE's Request To Start Destroying Documents About Rights Abuses","https://wearemitu.com/things-that-matter/immigration-officials-want-to-start-destroy-documents-of-sexual-assault-complaints-and-deaths-in-custody/","https://scontent.xx.fbcdn.net/v/t45.1600-4/21012358_6094539351726_1620307327590596608_n.png?oh=d3ce555faabf1989374c0aa01eeeac67&oe=5A15CDCC","2017-09-02 20:00:00","2017-09-02","20:00","3649363","2565","172477","125345","120440","3618","9","327","103","34","347","104","25","20","1","1247","55","0","1077","8","485","485","440","2379","2210","2046","0","0","0","0","0","0","0","0","7","7","0","0","0","0","0","3","0.6","1","0.8","0.8","1","0.6","0.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1405630409737397_1827601627540271","https://www.facebook.com/1405630409737397_1827601627540271","photo","Every single time.","","https://www.facebook.com/wearemitu/photos/a.1405639273069844.1073741828.1405630409737397/1827601274206973/?type=3","https://scontent.xx.fbcdn.net/v/t1.0-9/p720x720/21192536_1827601274206973_5921860357314256543_n.jpg?oh=90a0edd94b58c0bdd634697fd8195597&oe=5A1BC269","2017-09-02 19:00:00","2017-09-02","19:00","3649363","2565","278881","209303","203247","6079","163","1328","148","233","1437","157","70","109","9","81","1586","0","1158","36","1827","1827","1711","2825","3900","3578","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1405630409737397_1827599070873860","https://www.facebook.com/1405630409737397_1827599070873860","photo","LOL","","https://www.facebook.com/wearemitu/photos/a.1405639273069844.1073741828.1405630409737397/1827598924207208/?type=3","https://scontent.xx.fbcdn.net/v/t1.0-9/p720x720/21192188_1827598924207208_1357613306231920598_n.jpg?oh=4c825924df8bdced51266368e540e86a&oe=5A22F89C","2017-09-02 18:00:00","2017-09-02","18:00","3649363","2565","553586","389447","315187","62063","933","8303","1197","1776","10027","1218","843","1724","21","15","1983","0","3526","23","13021","13021","11992","5524","14293","11910","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1405630409737397_1825012411132526","https://www.facebook.com/1405630409737397_1825012411132526","link","Lisa 'left-eye' Lopes would be proud.","Someone Finally Made A Spanglish Version Of 'No Scrubs' So Latinas Can Now Tell Cornballs To Get Lost Bilingually","https://wearemitu.com/entertainment/tlcs-no-scrubs-gets-second-wind-with-wendy-sarmientos-spanglish-re-imagining-of-the-1999-classic-song/","https://scontent.xx.fbcdn.net/v/t45.1600-4/c20.10.560.292/p600x313/21141633_6094429548926_2910471123411927040_n.png?oh=8bd2109c6418ebcfaf46c2329ba17bd3&oe=5A5A15EB","2017-09-02 16:00:00","2017-09-02","16:00","3649363","2565","235290","178807","171419","2584","30","429","65","40","447","61","10","18","0","2191","58","0","965","19","548","548","504","3214","2892","2738","108","14","122","0","115","0","71","0","283","261","22","177","164","18","88","116","0.4377","0.9893","1","0.9466","0.8434","0.79","0.7473","0.6975","0.6619","0.6512","0.6406","0.6299","0.6157","0.605","0.5979","0.573","0.5552","0.5409","0.5338","0.516","0.5125","0.5089","0.5053","0.5053","0.5053","0.4875","0.4626","0.4484","0.4342","0.4306","0.427","0.427","0.4199","0.4128","0.3879","0.3843","0.3381","0.3025","0.2527","0.2384","0.0996"
"1405630409737397_1827532107547223","https://www.facebook.com/1405630409737397_1827532107547223","video","Tag a FIERCE shorty!","Fierce by mitú","https://www.facebook.com/fiercebymitu/videos/1888448064740558/","https://scontent.xx.fbcdn.net/v/t15.0-10/p720x720/21323954_1888448084740556_3590908056084414464_n.jpg?oh=38b5781a767f7f358b91ed32abd4ea68&oe=5A150E5B","2017-09-02 15:01:27","2017-09-02","15:01","3649363","2565","739782","499923","476408","9550","366","1914","0","580","1954","0","214","40","0","116","44","3","15218","22","2534","2534","2258","15381","15594","15043","0","0","0","0","0","0","0","42942","115449","112175","3274","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1405630409737397_1827398357560598","https://www.facebook.com/1405630409737397_1827398357560598","video","Omg the song lol.","","https://www.facebook.com/wearemitu/videos/1827398357560598/","https://scontent.xx.fbcdn.net/v/t15.0-10/p720x720/21347753_1827398794227221_3530940412732637184_n.jpg?oh=b643f0317b83f8a0de666083a13581fa&oe=5A2385E2","2017-09-02 14:00:00","2017-09-02","14:00","3649363","2565","10844215","6495876","1522396","5112239","18698","73541","48487","50980","196528","49031","32282","122987","544","124","179","245026","748901","478","296539","296539","234727","994230","811363","229033","256234","40450","296684","0","288217","8994","254662","34451","3050175","2816976","233199","1465659","1358920","169394","880183","1261077","0.5582","1","0.9973","0.9908","0.8932","0.8218","0.7455","0.6769","0.6169","0.565","0.5158","0.4757","0.4427","0.4172","0.3963","0.3818","0.367","0.3507","0.3387","0.3244","0.2799","0.2315","0.2015","0.1784","0.1633","0.1475","0.137","0.1256","0.1181","0.1101","0.1049","0.0988","0.0949","0.0906","0.087","0.0826","0.0435","","","",""
"1405630409737397_1826816614285439","https://www.facebook.com/1405630409737397_1826816614285439","photo","Tag someone who thinks they're muy muy.","","https://www.facebook.com/wearemitu/photos/a.1405639273069844.1073741828.1405630409737397/1826816574285443/?type=3","https://scontent.xx.fbcdn.net/v/t1.0-9/p720x720/21272649_1826816574285443_3771780706671505439_n.jpg?oh=c2114390cbbdc51ba333aa8ad2d2b05c&oe=5A1BC2AD","2017-09-02 12:00:00","2017-09-02","12:00","3649363","2565","349847","255590","242805","11851","305","2854","281","525","3033","286","220","179","5","67","980","0","2011","9","3844","3844","3439","3058","5413","4935","0","0","0","0","0","0","0","0","1","1","0","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1405630409737397_1825535121080255","https://www.facebook.com/1405630409737397_1825535121080255","link","No, we're not all blessed with the gift of winged eyeliner.","Fierce by mitú","https://fierce.wearemitu.com/the-beatdown/if-you-still-cant-get-your-fierce-cat-eyeliner-down-this-ones-for-you/","https://scontent.xx.fbcdn.net/v/t45.1600-4/21011846_6094424038926_5640823902683791360_n.png?oh=9c7b4bea5067c5242f3cc3f5b1bb7218&oe=5A144944","2017-09-02 11:00:00","2017-09-02","11:00","3649363","2565","48274","33123","32280","30","2","38","0","4","45","0","2","7","0","445","23","0","469","2","49","49","49","937","794","770","31","1","32","0","31","0","24","0","81","80","1","39","40","1","21","29","0.425","1","1","0.775","0.6375","0.5625","0.525","0.5","0.4875","0.4625","0.4625","0.4625","0.4625","0.4375","0.4375","0.425","0.425","0.425","0.425","0.425","0.425","0.4125","0.4","0.3875","0.375","0.375","0.3625","0.35","0.3375","0.3375","0.3375","0.3375","0.3375","0.3375","0.325","0.325","0.325","0.325","0.3125","0.3","0.075"
"1405630409737397_1826991677601266","https://www.facebook.com/1405630409737397_1826991677601266","video","Who else loves their old car?","Who else loves their old car?","https://www.facebook.com/wearemitu/videos/1826991677601266/","https://scontent.xx.fbcdn.net/v/t15.0-10/p720x720/21346403_1826991687601265_4521483596313133056_n.jpg?oh=807ab75d8a6687e93262cbb64936ca31&oe=5A55FFBE","2017-09-02 10:00:00","2017-09-02","10:00","3649363","2565","605545","407124","390794","10002","228","871","162","324","953","165","96","82","3","83","30","1585","9351","20","1442","1442","1288","11049","9864","8958","19341","1048","20158","231","20389","5626","14298","55998","70530","69203","1327","29477","28777","1165","13001","19304","0.4882","1","0.9722","0.7","0.5482","0.4893","0.4595","0.4258","0.4052","0.3966","0.3883","0.3805","0.3711","0.3595","0.351","0.3431","0.3347","0.329","0.3229","0.3186","0.3073","0.2943","0.2845","0.2793","0.275","0.27","0.2587","0.2501","0.2466","0.2403","0.236","0.2331","0.231","0.2235","0.2157","0.2136","0.2117","0.2105","0.2094","0.2055","0.0862"
"1405630409737397_1825526751081092","https://www.facebook.com/1405630409737397_1825526751081092","link","Who knew reggaeton and sword fight matched up so perfectly?","Ozuna Is The Only Reggaeton Artist That Would Put Samurai And A Japanese Sword Fight In His Music Video And Surprisingly It Works Great","https://wearemitu.com/entertainment/reggaeton-and-latin-trap-artist-ozuna-releases-samurai-inspired-music-video-for-una-flor-and-racks-up-3-million-views-in-only-24-hours/","https://scontent.xx.fbcdn.net/v/t45.1600-4/c20.10.560.292/p600x313/21012417_6094469388126_8383643271208894464_n.png?oh=0ef8b9f088cb347692b1510a3f0f6cd8&oe=5A5B3F81","2017-09-02 09:00:00","2017-09-02","09:00","3649363","2565","151452","111168","106482","457","15","128","15","18","139","15","3","11","0","776","53","0","595","14","172","172","159","1424","1386","1297","0","0","0","0","0","0","0","0","2","2","0","2","2","0","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","0","0","0"
