"status_id","permalink","post_type","sharetext","headline","link","full_picture","created_time","date","hour","page_total_likes","page_new_likes","post_impressions","post_reach","post_reach_fan_unique","post_reach_viral_unique","comments_on_post","likes_on_post","shares_on_post","total_comments","total_likes","total_shares","comments_on_shares","likes_on_shares","shares_on_shares","link_clicks","photo_view","video_play","other_clicks","post_negative_feedback","post_story_adds","post_stories","post_storytellers","post_consumptions","post_engaged_users","post_engaged_fan","post_video_complete_views_30s_autoplayed","post_video_complete_views_30s_clicked_to_play","post_video_complete_views_30s_organic","post_video_complete_views_30s_paid","post_video_complete_views_30s_unique","post_video_avg_time_watched","post_video_complete_views_organic_unique","post_video_length","post_video_views","post_video_views_autoplayed","post_video_views_clicked_to_play","post_video_views_10s_unique","post_video_views_10s_autoplayed","post_video_views_10s_clicked_to_play","post_video_views_10s_sound_on","post_video_views_sound_on","s0","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12","s13","s14","s15","s16","s17","s18","s19","s20","s21","s22","s23","s24","s25","s26","s27","s28","s29","s30","s31","s32","s33","s34","s35","s36","s37","s38","s39","s40"
"150424302108405_282568922227275","https://www.facebook.com/150424302108405_282568922227275","link","You know it’s real when ya’ll call each other ‘Compa.'","Take This Quiz To Find Out If Your Compadre Bond Is As Unbreakable As You Say","https://wearemitu.com/bad-hombres/quiz-how-close-are-you-and-your-compadre/","https://scontent.xx.fbcdn.net/v/t45.1600-4/c20.10.560.292/p600x313/20627944_6069329576203_3375124363647909888_n.png?oh=76a6e48049dafb11ef8ef0ccdabe7a93&oe=5A194A69","2017-08-14 07:00:00","2017-08-14","07:00","180595","198","105567","74153","4880","70490","2","9","8","10","53","8","8","44","0","415","39","0","432","3","71","71","55","886","804","92","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"150424302108405_281831668967667","https://www.facebook.com/150424302108405_281831668967667","link","'Never in my life did I think I was going to be mayor.’","He Is The Youngest And First Latino Mayor When He Saved His Hometown From A Catastrophe","https://wearemitu.com/bad-hombres/this-rhode-island-city-filed-for-bankruptcy-then-a-young-latino-mayor-saved-the-city/","https://scontent.xx.fbcdn.net/v/t45.1600-4/20627485_6093416448926_1379813726227529728_n.png?oh=ea5b2810c8fbaf5cc3c6c4523e39fcec&oe=59EB0E6E","2017-08-12 16:00:00","2017-08-12","16:00","180297","192","164098","112109","9683","104839","3","83","28","8","454","29","5","371","1","1452","35","0","723","6","491","491","476","2210","2360","279","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"150424302108405_282137632270404","https://www.facebook.com/150424302108405_282137632270404","link","This is one of the coolest doodles yet.","This Google Doodle Recognized Hip-Hop’s Birthday And Threw Love At Famous Breakdancer Richard ‘Crazy Legs’ Colón","https://wearemitu.com/bad-hombres/todays-google-doodle-recognized-the-birth-of-hip-hop-and-threw-some-love-at-famous-breakdancer-richard-crazy-legs-colon/","https://scontent.xx.fbcdn.net/v/t45.1600-4/20627429_23842643224790125_1462477278146461696_n.png?oh=c5f938c310a9fc3567493ea7d25ced39&oe=5A21B2A9","2017-08-12 09:09:00","2017-08-12","09:09","180297","192","9100","6641","5941","215","1","56","3","2","57","3","1","1","0","26","0","0","28","4","62","62","59","54","100","94","0","0","0","0","0","0","0","0","7","7","0","2","2","0","2","4","1","0.75","0.5","0.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"150424302108405_281868412297326","https://www.facebook.com/150424302108405_281868412297326","video","Third time's the charm! Help Danny or Soak Him!","Help this Bad Hombre change a tire","https://www.facebook.com/WeAreBadHombres/videos/281868412297326/","https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/20820630_281872095630291_2092939934162747392_n.jpg?oh=e2ee6611f6dd65eac50320391c5aade8&oe=5A20614B","2017-08-11 15:24:27","2017-08-11","15:24","180153","208","13126","9391","8637","134","11","28","2","12","106","2","1","78","0","0","13","132","201","7","120","120","39","346","296","202","246","33","279","0","269","5176","49","165433","2720","2617","103","751","718","63","476","1125","0.9699","1","0.446","0.2692","0.2024","0.167","0.1493","0.1153","0.0904","0.076","0.0648","0.0616","0.0629","0.0694","0.0747","0.0806","0.0806","0.0819","0.0825","0.0786","0.074","0.074","0.0675","0.0616","0.0596","0.055","0.0504","0.0491","0.0458","0.0478","0.0458","0.0439","0.0406","0.0386","0.038","0.0347","0.0373","0.0367","0.0327","0.0288","0.0216"
"150424302108405_281861298964704","https://www.facebook.com/150424302108405_281861298964704","video","We're back! Help Danny Change a Tire!","Help This Bad Hombre change a tire!","https://www.facebook.com/WeAreBadHombres/videos/281861298964704/","https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/20813814_281867112297456_3033302691246768128_n.jpg?oh=3f640f5e6f07551a0f3d47f7d88380f0&oe=59EB35A8","2017-08-11 15:17:45","2017-08-11","15:17","180153","208","10292","7973","7421","54","7","18","0","7","56","0","0","38","0","0","7","66","127","5","63","63","21","200","161","122","88","23","111","0","106","3201","32","138688","1468","1417","51","323","300","35","183","495","0.8872","1","0.409","0.2215","0.1535","0.1291","0.1087","0.0897","0.0842","0.0856","0.0774","0.0611","0.0462","0.0435","0.0448","0.0394","0.0421","0.0448","0.0571","0.0598","0.0584","0.0611","0.0571","0.0598","0.0543","0.0516","0.0503","0.0503","0.0557","0.053","0.0489","0.0435","0.0435","0.0462","0.0462","0.0503","0.0476","0.0448","0.0462","0.0476","0.0231"
"150424302108405_281854945632006","https://www.facebook.com/150424302108405_281854945632006","video","Danny's never changed a tire, help this bad hombre change a tire.","Help this Bad Hombre change a tire","https://www.facebook.com/WeAreBadHombres/videos/281854945632006/","https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/20813681_281861638964670_478399253002059776_n.jpg?oh=8a7d30ea853ec54d07853c4a123ade78&oe=5A2093F7","2017-08-11 15:01:09","2017-08-11","15:01","180153","208","275037","185289","19264","173933","634","442","31","687","1977","33","53","1535","2","53","45","2691","4208","73","2697","2697","781","6997","6305","702","4233","590","4823","0","4775","6617","463","555477","46854","44706","2148","14404","13420","1124","6982","13685","1","0.367","0.1741","0.1236","0.0975","0.0835","0.0755","0.0687","0.0611","0.0555","0.0493","0.0431","0.0411","0.0402","0.0376","0.0362","0.035","0.0326","0.0304","0.0293","0.0278","0.0266","0.0251","0.025","0.0243","0.0228","0.0206","0.0191","0.0194","0.0202","0.0207","0.0219","0.021","0.0206","0.0201","0.0204","0.0196","0.02","0.0205","0.0216","0.0113"
"150424302108405_281710682313099","https://www.facebook.com/150424302108405_281710682313099","link","Does this describe your padrino?","Quiz: What Type Of Padrino Are You?","https://wearemitu.com/bad-hombres/quiz-what-type-of-padrino-are-you/","https://external.xx.fbcdn.net/safe_image.php?d=AQBf6p4wFNECqdF_&url=https%3A%2F%2Fdd2d9j2i66w9u.cloudfront.net%2Fwp-content%2Fuploads%2F2017%2F08%2F10163024%2Fpadrinoooo_hero_480.jpg&_nc_hash=AQDS87Tqmdmf7Vwn","2017-08-11 07:00:00","2017-08-11","07:00","180153","208","132782","89256","5581","86377","2","6","9","35","56","12","33","50","3","932","33","0","462","9","103","103","82","1427","1339","140","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"150424302108405_281089739041860","https://www.facebook.com/150424302108405_281089739041860","link","He literally came up with this idea while on the toilet.","This Artist Started Fúchila Fresheners As A Joke Now It's A Full On Business","https://wearemitu.com/bad-hombres/this-artist-started-fuchila-fresheners-as-a-joke-now-its-a-full-on-business/","https://external.xx.fbcdn.net/safe_image.php?d=AQB4-PjfoTyXuwh7&url=https%3A%2F%2Fdd2d9j2i66w9u.cloudfront.net%2Fwp-content%2Fuploads%2F2017%2F08%2F09114038%2FFuchilaFreshenersImage.jpg&_nc_hash=AQA0pEYBDalbkdJN","2017-08-09 16:00:00","2017-08-09","16:00","179739","265","346826","231891","14029","225011","11","164","269","272","3081","273","261","2917","4","5702","99","0","3001","7","3626","3626","3145","8802","9326","841","7","1","8","0","8","0","8","0","30","26","4","15","12","3","8","14","0.8","1","0.9667","0.9667","0.9","0.8667","0.7667","0.7","0.6333","0.6","0.5333","0.5","0.4667","0.3667","0.3333","0.2667","0.2667","","","","","","","","","","","","","","","","","","","","","","","",""
"150424302108405_280779639072870","https://www.facebook.com/150424302108405_280779639072870","video","Catch me on the next FIFA!","","https://www.facebook.com/WeAreBadHombres/videos/280779639072870/","https://scontent.xx.fbcdn.net/v/t15.0-10/p720x720/20730823_280779849072849_2603912652929368064_n.jpg?oh=877acaad26b554bacc521127c81246b6&oe=59EC2C35","2017-08-09 10:00:00","2017-08-09","10:00","179739","265","584733","374959","19747","368472","231","419","733","1354","4741","751","1123","4322","18","58","40","6656","12173","18","6846","6846","6150","18927","16687","1225","21874","2128","24002","0","22717","5443","23657","14803","144482","138161","6321","51043","47690","3882","12979","26405","0.5407","1","0.9984","0.9927","0.9329","0.8214","0.6516","0.5635","0.5202","0.4921","0.4464","0.3315","0.2427","0.209","0.1922","0.1756","0.1061","","","","","","","","","","","","","","","","","","","","","","","",""
"150424302108405_280742799076554","https://www.facebook.com/150424302108405_280742799076554","link","She really just said, ‘Si no me vas a dar nietos, yo voy a rentar uno.'","This Conversation Between A Son And His Mom Is Way Too Real For Every Guy Who Is In His Late 20s And Single","https://wearemitu.com/bad-hombres/this-conversation-between-a-son-and-his-mom-is-way-too-real-for-every-guy-who-is-in-his-late-20s-and-single/","https://external.xx.fbcdn.net/safe_image.php?d=AQCQ_aAcY1jRnQfP&url=https%3A%2F%2Fdd2d9j2i66w9u.cloudfront.net%2Fwp-content%2Fuploads%2F2017%2F08%2F08090256%2Fmomson-hero.jpg&_nc_hash=AQC4djO-0deEXnF3","2017-08-08 11:00:52","2017-08-08","11:00",NA,NA,"356936","237021","14229","228103","23","95","240","495","1611","242","472","1516","2","4694","55","0","4590","16","2348","2348","1801","9339","7012","693","1","0","1","0","1","0","0","0","2","2","0","1","1","0","1","1","1","1","1","1","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
