status_id,permalink,post_type,sharetext,headline,link,full_picture,created_time,date,hour,page_total_likes,page_new_likes,post_impressions,post_reach,post_reach_fan_unique,post_reach_viral_unique,comments_on_post,likes_on_post,shares_on_post,total_comments,total_likes,total_shares,comments_on_shares,likes_on_shares,shares_on_shares,link_clicks,photo_view,video_play,other_clicks,post_negative_feedback,post_story_adds,post_stories,post_storytellers,post_consumptions,post_engaged_users,post_engaged_fan,post_video_complete_views_30s_autoplayed,post_video_complete_views_30s_clicked_to_play,post_video_complete_views_30s_organic,post_video_complete_views_30s_paid,post_video_complete_views_30s_unique,post_video_avg_time_watched,post_video_complete_views_organic_unique,post_video_length,post_video_views,post_video_views_autoplayed,post_video_views_clicked_to_play,post_video_views_10s_unique,post_video_views_10s_autoplayed,post_video_views_10s_clicked_to_play,post_video_views_10s_sound_on,post_video_views_sound_on,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40
150424302108405_178797875937714,https://www.facebook.com/150424302108405_178797875937714,photo,,Bad Hombres's cover photo,https://www.facebook.com/WeAreBadHombres/photos/a.150426078774894.1073741827.150424302108405/178797875937714/?type=3,https://scontent.xx.fbcdn.net/v/t1.0-9/q89/s720x720/16298423_178797875937714_6612088048993407639_n.jpg?oh=7b8d40094ccf1967af6f2e3c3c64d325&oe=59FE414F,30/01/2017 10:08,30/01/2017,10:08,127,0,29,21,13,8,0,17,1,0,19,1,0,2,0,0,183,0,0,0,20,20,20,183,117,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150424302108405_178816155935886,https://www.facebook.com/150424302108405_178816155935886,link,I never knew flops could be this beautiful.,"Lets Be Real, When Neymar Dives in a Futbol Game it's a Work of Art",https://www.wearemitu.com/mitu-world/lets-be-real-when-neymar-dives-in-a-futbol-game-its-a-work-of-art/,https://external.xx.fbcdn.net/safe_image.php?d=AQCwXfhSrNblQ0uA&url=https%3A%2F%2Fdd2d9j2i66w9u.cloudfront.net%2Fwp-content%2Fuploads%2F2016%2F07%2F07190400%2Fneymar-dive.jpg&_nc_hash=AQBDA2azH8niPjqT,30/01/2017 11:00,30/01/2017,11:00,127,0,271,149,16,101,0,11,1,0,12,1,0,1,0,3,0,0,1,0,13,13,13,4,17,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150424302108405_179530839197751,https://www.facebook.com/150424302108405_179530839197751,photo,"""Does the 5 second rule apply to this?""",Timeline Photos,https://www.facebook.com/WeAreBadHombres/photos/a.179597812524387.1073741828.150424302108405/179530839197751/?type=3,https://scontent.xx.fbcdn.net/v/t1.0-9/16426121_179530839197751_6941669966339950157_n.jpg?oh=7a61c1284011547ef64dc690c32b1aea&oe=59FC5B15,31/01/2017 14:00,31/01/2017,14:00,135,8,2246,1464,87,1349,8,46,20,16,90,20,8,44,0,1,546,0,24,0,126,126,110,571,583,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150424302108405_180200285797473,https://www.facebook.com/150424302108405_180200285797473,link,"""Mayans are lowkey the best part of this show anyway.""",We Might Be Getting A Latino “Sons Of Anarchy” Spinoff,https://www.wearemitu.com/mitu-world/we-might-be-getting-a-latino-sons-of-anarchy-spinoff/,https://scontent.xx.fbcdn.net/v/t45.1600-4/16633056_6059246013403_1663934729210036224_n.png?oh=a1d98e67de13eb8edc451d343ea4509b&oe=5A033480,1/02/2017 11:12,1/02/2017,11:12,138,3,493,316,15,270,2,31,8,5,39,8,3,8,0,1,0,0,6,0,52,52,47,7,49,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150424302108405_180272005790301,https://www.facebook.com/150424302108405_180272005790301,photo,"""Don't cross the boss.""",Timeline Photos,https://www.facebook.com/WeAreBadHombres/photos/a.179597812524387.1073741828.150424302108405/180272005790301/?type=3,https://scontent.xx.fbcdn.net/v/t1.0-9/p720x720/16473017_180272005790301_8746160717512038984_n.jpg?oh=e4c7351654baaf2501ba0aec7ddc38e3&oe=59EFF39B,2/02/2017 14:00,2/02/2017,14:00,139,1,4580,2929,94,2839,18,71,52,73,167,55,55,96,3,0,489,0,67,1,295,295,229,556,661,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150424302108405_180272775790224,https://www.facebook.com/150424302108405_180272775790224,link,"""Put this flavor in your ears.""",A Gang Member from San Diego and a Punk from TJ are the Creators of ‘Cholo Goth’,https://www.wearemitu.com/mitu-world/prayers-cholo-goth/,https://external.xx.fbcdn.net/safe_image.php?d=AQAdgXvBerQ_BGBX&url=https%3A%2F%2Fwww.wearemitu.com%2Fwp-content%2Fuploads%2F2015%2F06%2Fprayers-cholo-goth.jpg&_nc_hash=AQDqVLP1Ab9ajbYh,3/02/2017 11:00,3/02/2017,11:00,139,0,486,336,18,291,3,28,7,6,36,8,3,8,1,2,0,0,6,0,50,50,41,8,49,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150424302108405_180273212456847,https://www.facebook.com/150424302108405_180273212456847,photo,"""He'll be feeling the burn.",Timeline Photos,https://www.facebook.com/WeAreBadHombres/photos/a.179597812524387.1073741828.150424302108405/180273212456847/?type=3,https://scontent.xx.fbcdn.net/v/t1.0-9/p720x720/16427409_180273212456847_4969688897846673420_n.jpg?oh=de0622e5dd0aee60b0127e39c9648a6f&oe=59F174CB,4/02/2017 14:00,4/02/2017,14:00,138,0,3209,2101,88,1985,8,81,44,17,144,47,9,63,3,0,430,0,14,0,208,208,183,444,547,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150424302108405_180272992456869,https://www.facebook.com/150424302108405_180272992456869,link,"""With friends like this...""",Fat Joe Explains Why You Don’t Squabble With Mike Tyson,https://www.wearemitu.com/mitu-world/fat-joe-explains-why-you-dont-squabble-with-mike-tyson/,https://external.xx.fbcdn.net/safe_image.php?d=AQACXZLbAC_GMIPK&url=https%3A%2F%2Fdd2d9j2i66w9u.cloudfront.net%2Fwp-content%2Fuploads%2F2016%2F10%2F20171622%2FScreen-Shot-2016-10-20-at-4.05.30-PM.png&_nc_hash=AQC8HDRDMGELakI-,5/02/2017 11:00,5/02/2017,11:00,138,0,94,75,22,17,0,4,0,0,4,0,0,0,0,0,0,0,1,0,4,4,4,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150424302108405_181411142343054,https://www.facebook.com/150424302108405_181411142343054,photo,"""I don't even wanna see his love life.""",Timeline Photos,https://www.facebook.com/WeAreBadHombres/photos/a.179597812524387.1073741828.150424302108405/181411142343054/?type=3,https://scontent.xx.fbcdn.net/v/t1.0-9/p720x720/16473342_181411142343054_4782558512617217467_n.jpg?oh=67ac4a6c5ace790ea75b106f5cd390ee&oe=59FFD3D5,6/02/2017 14:00,6/02/2017,14:00,139,1,1296,847,46,770,5,36,14,13,48,16,8,12,2,0,397,0,11,0,77,77,66,408,403,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150424302108405_181412535676248,https://www.facebook.com/150424302108405_181412535676248,link,"""Non stop legends.""",NYC Radio Legend Angie Martinez On Desus & Mero,https://www.wearemitu.com/mitu-world/nyc-radio-legend-angie-martinez-on-desus-mero/,https://external.xx.fbcdn.net/safe_image.php?d=AQC61EKpUB7vfjzL&url=https%3A%2F%2Fdd2d9j2i66w9u.cloudfront.net%2Fwp-content%2Fuploads%2F2016%2F12%2F22160941%2Fangie-martinez-desus-mero-main.jpg&_nc_hash=AQBHxO6ekba0O4FR,7/02/2017 11:00,7/02/2017,11:00,139,0,74,68,18,10,0,4,0,0,5,0,0,1,0,0,0,0,0,0,5,5,5,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
