"status_id","permalink","post_type","sharetext","headline","link","full_picture","created_time","date","hour","page_total_likes","page_new_likes","post_impressions","post_reach","post_reach_fan_unique","post_reach_viral_unique","comments_on_post","likes_on_post","shares_on_post","total_comments","total_likes","total_shares","comments_on_shares","likes_on_shares","shares_on_shares","link_clicks","photo_view","video_play","other_clicks","post_negative_feedback","post_story_adds","post_stories","post_storytellers","post_consumptions","post_engaged_users","post_engaged_fan","post_video_complete_views_30s_autoplayed","post_video_complete_views_30s_clicked_to_play","post_video_complete_views_30s_organic","post_video_complete_views_30s_paid","post_video_complete_views_30s_unique","post_video_avg_time_watched","post_video_complete_views_organic_unique","post_video_length","post_video_views","post_video_views_autoplayed","post_video_views_clicked_to_play","post_video_views_10s_unique","post_video_views_10s_autoplayed","post_video_views_10s_clicked_to_play","post_video_views_10s_sound_on","post_video_views_sound_on","s0","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12","s13","s14","s15","s16","s17","s18","s19","s20","s21","s22","s23","s24","s25","s26","s27","s28","s29","s30","s31","s32","s33","s34","s35","s36","s37","s38","s39","s40"
"1769264743325558_1887366284848736","https://www.facebook.com/1769264743325558_1887366284848736","link","I'm hooked.","9 Latina EDM Artists You Need On Your End Of Summer Playlist","https://fierce.wearemitu.com/entertainment/9-latina-edm-artists-need-end-summer-playlist/","https://scontent.xx.fbcdn.net/v/t45.1600-4/21143336_6094423553326_3670883495346962432_n.png?oh=bf1a1060326a28165c2f774037a439cd&oe=5A149CF2","2017-08-30 16:00:00","2017-08-30","16:00","154788","673","3889","2867","2121","84","2","18","4","2","18","3","0","0","0","58","0","0","42","3","23","23","21","100","89","76","17","3","20","0","20","0","11","0","30","27","3","24","21","3","15","15","0.4667","1","0.9333","0.8333","0.8","0.8","0.8","0.7333","0.7333","0.7333","0.7333","0.7333","0.7","0.7","0.7","0.6667","0.6667","0.6667","0.6667","0.6333","0.6333","0.6333","0.6333","0.6","0.6","0.5667","0.5667","0.5667","0.5667","0.5667","0.5667","0.5","0.5","0.5","0.5","0.5","0.5","0.4","0.3667","0.3333","0.1"
"1769264743325558_1887612981490733","https://www.facebook.com/1769264743325558_1887612981490733","video","When will these two ever learn?","","https://www.facebook.com/fiercebymitu/videos/1887612981490733/","https://scontent.xx.fbcdn.net/v/t15.0-10/p720x720/21276981_1887613311490700_1465817298118901760_n.jpg?oh=152c86cc3e695624d2e83b2d70deae3a&oe=5A59F9D1","2017-08-30 13:00:00","2017-08-30","13:00","154788","673","1586276","979257","39700","961357","280","1371","2922","2369","8099","2979","2089","6728","57","47","69","28461","127506","110","13447","13447","10931","156083","112068","6329","194132","23778","217910","0","217910","23547","104647","73043","427608","399406","28202","290084","263567","26517","120558","146721","0.5464","1","0.9476","0.7947","0.7323","0.6955","0.6617","0.6315","0.615","0.6004","0.5694","0.5582","0.5526","0.5465","0.5351","0.5275","0.5198","0.4987","0.4931","0.4869","0.4738","0.4529","0.4329","0.4129","0.396","0.3864","0.3797","0.3722","0.3634","0.3558","0.3499","0.3374","0.3327","0.3293","0.3221","0.3088","0.2861","0.2652","0.2462","0.2256","0.1025"
"1769264743325558_1887371774848187","https://www.facebook.com/1769264743325558_1887371774848187","link","I can't be the only one struggling out there.","If You Still Can't Nail Your Cat Eyeliner, This One's For You","https://fierce.wearemitu.com/the-beatdown/if-you-still-cant-get-your-fierce-cat-eyeliner-down-this-ones-for-you/","https://scontent.xx.fbcdn.net/v/t45.1600-4/21011846_6094424038926_5640823902683791360_n.png?oh=9c7b4bea5067c5242f3cc3f5b1bb7218&oe=5A144944","2017-08-30 12:17:07","2017-08-30","12:17","154788","673","2170","1652","1177","0","1","6","1","1","6","0","0","0","0","51","0","0","69","3","7","7","6","120","87","65","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1769264743325558_1886754864909878","https://www.facebook.com/1769264743325558_1886754864909878","video","Damaged Hair Transformation","","https://www.facebook.com/fiercebymitu/videos/1886754864909878/","https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/21190351_1886755528243145_1024165673632268288_n.jpg?oh=7f058fc0501dd329bb9f8abb8a6354c1&oe=5A245158","2017-08-28 10:00:44","2017-08-28","10:00","151615","392","2666530","1578990","67838","1449421","314","3387","2446","1087","10549","2467","773","7162","21","1236","36","16526","95386","140","14103","14103","12350","113184","85834","7444","99839","9040","108879","0","108879","21509","36734","334185","693541","677920","15621","304680","294832","13194","119627","195939","1","0.941","0.5111","0.3239","0.2662","0.2334","0.2117","0.1961","0.183","0.1718","0.1656","0.1633","0.1593","0.1568","0.1559","0.1555","0.1543","0.1529","0.1523","0.1517","0.1506","0.1494","0.1489","0.1477","0.1464","0.146","0.1441","0.1414","0.1416","0.1422","0.1401","0.1328","0.1178","0.1175","0.117","0.1131","0.1127","0.1108","0.1033","0.0822","0.0208"
"1769264743325558_1886370928281605","https://www.facebook.com/1769264743325558_1886370928281605","video","For all the proud nalgonas <3","","https://www.facebook.com/fiercebymitu/videos/1886370928281605/","https://scontent.xx.fbcdn.net/v/t15.0-10/p720x720/21154961_1886411274944237_33343656479948800_n.jpg?oh=1a3a9b60973804b9f09e7b5d38cf8216&oe=5A2C3D32","2017-08-27 15:00:00","2017-08-27","15:00","151252","112","1273003","802600","31551","793702","63","1681","2393","499","9965","2433","436","8284","40","211","50","7279","39498","82","12897","12897","9916","47038","37461","3099","59189","4941","64130","0","64130","11367","11871","150526","245144","238477","6667","119406","113457","5949","45323","62017","0.6886","1","0.6762","0.5604","0.4751","0.4184","0.3751","0.3384","0.3156","0.2927","0.2719","0.2559","0.2355","0.2122","0.1969","0.183","0.1659","0.1542","0.1427","0.1318","0.1246","0.1186","0.1132","0.1066","0.1012","0.0977","0.0941","0.0904","0.087","0.0814","0.0774","0.0751","0.0724","0.0696","0.068","0.0663","0.0649","0.0636","0.0588","0.0412","0.0133"
"1769264743325558_1886071581644873","https://www.facebook.com/1769264743325558_1886071581644873","video","Now waiting for all of the Kylie fans to hop on this new lip plump trend.","","https://www.facebook.com/fiercebymitu/videos/1886071581644873/","https://scontent.xx.fbcdn.net/v/t15.0-10/p720x720/21154020_1886071748311523_4394076793091391488_n.jpg?oh=c215da1221340292b3464325523f9330&oe=5A1E0265","2017-08-26 15:00:00","2017-08-26","15:00","151160","142","232929","161527","6508","158147","11","52","38","46","274","38","35","222","0","65","22","3206","6371","15","358","358","319","9664","6597","469","26159","2693","28852","0","27914","5485","28096","10771","47740","44621","3119","28475","26733","2742","8956","12185","0.5329","1","0.9958","0.987","0.9131","0.8248","0.7869","0.7438","0.7167","0.6878","0.6579","0.6197","0.2198","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1769264743325558_1885714665013898","https://www.facebook.com/1769264743325558_1885714665013898","link","It'll be interesting to see if Chile's decision creates a domino effect in Latin America.","This Is What Abortion Laws Look Like In Latin America","https://fierce.wearemitu.com/things-that-matter/chile-just-approved-abortion-in-some-cases-but-these-latin-american-countries-still-have-strict-laws/","https://external.xx.fbcdn.net/safe_image.php?d=AQDIMYVwh6JUQZRw&url=https%3A%2F%2Fdd2d9j2i66w9u.cloudfront.net%2Fwp-content%2Fuploads%2Fsites%2F2%2F2017%2F08%2F23171052%2FScreen-Shot-2017-08-23-at-1.16.47-PM.png&_nc_hash=AQBf0TmStAdlEyqu","2017-08-25 14:00:00","2017-08-25","14:00","151044","254","2675","1711","1474","111","0","16","2","0","19","4","0","3","2","28","0","0","15","3","23","23","20","43","49","39","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1769264743325558_1885321911719840","https://www.facebook.com/1769264743325558_1885321911719840","link","More of this pleeease!","7 Woke Squads For Girls Of Color That Need To Be On Your Radar","https://fierce.wearemitu.com/fierce-boss-ladies/7-woke-girl-squads-of-color-that-need-to-be-on-your-radar/","https://scontent.xx.fbcdn.net/v/t45.1600-4/20864838_6094178011726_3004489288961228800_n.png?oh=d0ea3d55a650f05b8c8bc3abbb2317ae&oe=5A18DA1B","2017-08-25 10:00:00","2017-08-25","10:00","151044","254","14269","9831","4946","4075","2","63","33","4","130","33","2","67","0","391","1","0","101","6","167","167","146","493","508","227","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1769264743325558_1885323708386327","https://www.facebook.com/1769264743325558_1885323708386327","video","Who will win this dollar store make-up challenge?","Make-up Face-off: Mia Vs. Liana","https://www.facebook.com/fiercebymitu/videos/1885323708386327/","https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/21104800_1885332291718802_738904197918883840_n.jpg?oh=0c30057bf8cbc3f20d9eaed125b4f9b9&oe=5A261EBE","2017-08-24 15:02:08","2017-08-24","15:02","150835","208","434560","295386","20019","262033","638","373","192","744","1401","213","106","1028","21","121","39","1702","7665","50","2358","2358","638","9527","7265","1048","8512","767","9279","0","8867","10125","1098","705835","76928","75474","1454","20311","19977","1064","8794","17274","1","0.2785","0.156","0.1113","0.0959","0.0833","0.0739","0.0668","0.0625","0.0554","0.0489","0.0446","0.0427","0.0412","0.0403","0.0401","0.0388","0.0365","0.0338","0.0303","0.0297","0.0289","0.0283","0.028","0.027","0.0268","0.0255","0.0246","0.0246","0.0253","0.0259","0.0267","0.0286","0.03","0.031","0.0318","0.0284","0.0271","0.0248","0.0223","0.0071"
"1769264743325558_1884973245088040","https://www.facebook.com/1769264743325558_1884973245088040","link","I am not defined by my sexuality.","It’s 2017 And Asexual Latinas Still Hear These Ignorant Comments","https://fierce.wearemitu.com/identities/7-things-you-should-never-say-to-an-asexual-latina/","https://external.xx.fbcdn.net/safe_image.php?d=AQAg2nDFkIIrk7fe&url=https%3A%2F%2Fdd2d9j2i66w9u.cloudfront.net%2Fwp-content%2Fuploads%2Fsites%2F2%2F2017%2F08%2F21231928%2FScreen-Shot-2017-08-21-at-4.25.51-PM.png&_nc_hash=AQA32SyGoqQeB9Bd","2017-08-23 14:00:00","2017-08-23","14:00",NA,NA,"13103","8729","7652","517","0","43","7","0","54","9","0","11","2","334","0","0","34","5","63","63","57","368","372","324","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
