status_id,permalink,mitu_link,sharetext,post_type,category,date,sponsored,reposted,original,repost,repost_order,times_repost,days_bet_repost
150424302108405_239836753167159,https://www.facebook.com/150424302108405_239836753167159,https://wearemitu.com/bad-hombres/11-product-logos-replaced-with-brutally-honest-labels/,Ain't nothing 'Fabuloso' about your mom waking you up at 8 a.m. on a Saturday morning so that you can help clean the house.,Link,Latino Culture,15/05/2017,0,0,1,0,,,
150424302108405_242908236193344,https://www.facebook.com/150424302108405_242908236193344,https://wearemitu.com/bad-hombres/11-things-every-guy-dreaded-every-time-they-were-asked-to-be-a-chambelan/,This chambelan life ain't no joke.,Link,Latino Culture,23/05/2017,0,0,1,0,,,
150424302108405_241605472990287,https://www.facebook.com/150424302108405_241605472990287,https://wearemitu.com/bad-hombres/5-stages-sports-fans-go-through-when-their-team-fcks-up-during-playoffs/,This is too real...,Link,Sports,22/05/2017,0,0,1,0,,,
150424302108405_259874157830085,https://www.facebook.com/150424302108405_259874157830085,https://wearemitu.com/bad-hombres/9-of-the-best-latino-characters-to-play-in-fighting-games/,Do you agree with our list?,Link,Other,26/06/2017,0,0,1,0,,,
150424302108405_267028387114662,https://www.facebook.com/150424302108405_267028387114662,https://wearemitu.com/bad-hombres/canelo-and-triple-g-are-already-hyping-up-their-fight-on-tv-and-radio/,GGG even tried singing in Spanish.,Link,Sports,10/07/2017,0,0,1,0,,,
150424302108405_240237703127064,https://www.facebook.com/150424302108405_240237703127064,https://wearemitu.com/bad-hombres/cipha-sounds-was-on-desus-and-mero-to-talk-about-his-new-show-and-how-jay-z-lowkey-disses-him-on-the-regs/,He gives pretty good advice TBH.,Link,Identities,16/05/2017,0,0,1,0,,,
150424302108405_240196983131136,https://www.facebook.com/150424302108405_240196983131136,https://wearemitu.com/bad-hombres/david-ortizs-memoir-hits-as-hard-as-his-bat-swing/,This is Papi's freakin memoir!,Link,Sports,16/05/2017,0,0,1,0,,,
150424302108405_238507409966760,https://www.facebook.com/150424302108405_238507409966760,https://wearemitu.com/bad-hombres/demian-bichir-steps-out-of-his-comfort-zone-for-alien-covenant/,They offered him a role he could not refuse.,Link,TV & Movies,15/05/2017,0,0,1,0,,,
150424302108405_254220628395438,https://www.facebook.com/150424302108405_254220628395438,https://wearemitu.com/bad-hombres/fat-joe-shows-love-to-dj-khaled-by-licking-the-bottom-of-his-shoes/,"I love my sneakers, but idk if I would do this.",Link,Other,15/06/2017,0,0,1,0,,,
150424302108405_240731053077729,https://www.facebook.com/150424302108405_240731053077729,https://wearemitu.com/bad-hombres/from-completely-unapologetic-to-funny-af-these-2017-grad-caps-are-goals/,These are gold.,Link,Latino Culture,19/05/2017,0,0,1,0,,,
150424302108405_241142153036619,https://www.facebook.com/150424302108405_241142153036619,https://wearemitu.com/bad-hombres/gone-in-95-seconds-a-2-2-pound-burrito-versus-the-girl-of-our-dreams/,This girl would keep me on my burri-toes.,Link,Food & Beverages,19/05/2017,0,0,1,0,,,
150424302108405_283729515444549,https://www.facebook.com/150424302108405_283729515444549,https://wearemitu.com/bad-hombres/hbos-hard-knocks-has-brutal-clip-of-roberto-aguayo-being-let-go-from-his-job/,He was only in his second season.,Link,Sports,17/08/2017,0,0,1,0,,,
150424302108405_257545588062942,https://www.facebook.com/150424302108405_257545588062942,https://wearemitu.com/bad-hombres/heres-a-list-of-ways-you-can-go-the-extra-mile-and-become-a-better-teammate-to-your-novia/,Dudes: This is the playbook.,Link,Sex & Relationships,22/06/2017,0,0,1,0,,,
150424302108405_237150530102448,https://www.facebook.com/150424302108405_237150530102448,https://wearemitu.com/bad-hombres/heres-another-side-of-snoop-dogg-singing-along-to-jenni-rivera/,'This is why Snoop is the ultimate G.',Link,Music,10/05/2017,0,0,1,0,,,
150424302108405_251589371991897,https://www.facebook.com/150424302108405_251589371991897,https://wearemitu.com/bad-hombres/heres-how-having-superpowers-doesnt-always-make-you-a-superhero/,"For some, #6 is too real",Link,Other,9/06/2017,0,0,1,0,,,
150424302108405_241597379657763,https://www.facebook.com/150424302108405_241597379657763,https://wearemitu.com/bad-hombres/his-family-was-homeless-when-he-started-high-school-now-he-is-going-to-harvard/,This guy is definitely going places.,Link,Identities,22/05/2017,0,0,1,0,,,
150424302108405_253596315124536,https://www.facebook.com/150424302108405_253596315124536,https://wearemitu.com/bad-hombres/how-to-confidently-buy-a-car-without-even-bringing-your-dad-with-you/,This is a game changer.,Link,Other,13/06/2017,0,0,1,0,,,
150424302108405_226863337797834,https://www.facebook.com/150424302108405_226863337797834,https://wearemitu.com/bad-hombres/if-youre-a-wrestling-fan-this-list-of-top-rope-finishers-is-necessary-af/,"There's wrestling moves, and then there are high risk maneuvers.",Link,Sports,21/04/2017,0,0,1,0,,,
150424302108405_226130647871103,https://www.facebook.com/150424302108405_226130647871103,https://wearemitu.com/bad-hombres/it-takes-your-girlfriend-forever-to-get-ready/,Obama had two terms in the time it took her to get ready.,Link,Sex & Relationships,18/04/2017,0,0,1,0,,,
150424302108405_257128658104635,https://www.facebook.com/150424302108405_257128658104635,https://wearemitu.com/bad-hombres/latino-baseball-players-talk-money-new-fame-family-and-baseball-culture/,"""If you look at all players, especially Dominicans, when they get to the MLB and they get a good bonus, the first thing they do is secure a house for their moms.""",Link,Sports,21/06/2017,0,0,1,0,,,
150424302108405_240297713121063,https://www.facebook.com/150424302108405_240297713121063,https://wearemitu.com/bad-hombres/legendary-guerrero-family-in-netflixs-gorgeous-ladies-of-wrestling/,"They bringing the ""Latino Heat.""",Link,Sports,17/05/2017,0,0,1,0,,,
150424302108405_232025200614981,https://www.facebook.com/150424302108405_232025200614981,https://wearemitu.com/bad-hombres/listen-to-christian-bale-call-his-best-bud-oscar-isaac-a-d%E2%80%A2%E2%80%A2k-in-this-podcast-about-their-new-film-the-promise/,I've said worse about my friends TBH.,Link,Celebrity & Gossip,1/05/2017,0,0,1,0,,,
150424302108405_237571423393692,https://www.facebook.com/150424302108405_237571423393692,https://wearemitu.com/bad-hombres/manu-ginobili-turned-back-the-clock-and-the-memes-were-hilarious/,The old man still has some gas in the tank.,Link,Sports,10/05/2017,0,0,1,0,,,
150424302108405_272100923274075,https://www.facebook.com/150424302108405_272100923274075,https://wearemitu.com/bad-hombres/mr-cartoon-releases-45th-anniversary-nike-cortez-10-years-after-his-first-nike-design/,"""In the '80s it was a lot harder to wear these shoes. You had to be down to wear these shoes.""",Link,Beauty & Fashion,19/07/2017,0,0,1,0,,,
150424302108405_282568922227275,https://www.facebook.com/150424302108405_282568922227275,https://wearemitu.com/bad-hombres/quiz-how-close-are-you-and-your-compadre/,You know it’s real when ya’ll call each other ‘Compa.',Link,Family & Friends,14/08/2017,0,0,1,0,,,
150424302108405_281710682313099,https://www.facebook.com/150424302108405_281710682313099,https://wearemitu.com/bad-hombres/quiz-what-type-of-padrino-are-you/,Does this describe your padrino?,Link,Family & Friends,11/08/2017,0,0,1,0,,,
150424302108405_238467993304035,https://www.facebook.com/150424302108405_238467993304035,https://wearemitu.com/bad-hombres/san-diego-padres-catcher-hector-sanchez-hits-fan-with-a-baseball-bat/,Swing and a Miss!,Link,Sports,15/05/2017,0,0,1,0,,,
150424302108405_236718646812303,https://www.facebook.com/150424302108405_236718646812303,https://wearemitu.com/bad-hombres/stan-lee-just-revealed-that-hes-developing-a-new-latino-superhero/,I'm so ready for this.,Link,TV & Movies,9/05/2017,0,0,1,0,,,
150424302108405_242870542863780,https://www.facebook.com/150424302108405_242870542863780,https://wearemitu.com/bad-hombres/the-9-awkward-stages-of-growing-out-your-thick-hair/,The mushroom phase is brutal.,Link,Beauty & Fashion,23/05/2017,0,0,1,0,,,
150424302108405_285799345237566,https://www.facebook.com/150424302108405_285799345237566,https://wearemitu.com/bad-hombres/these-soapbox-cars-will-either-have-you-drooling-at-the-mouth-or-will-give-you-major-nostalgia/,These are so dope.,Link,Latino Culture,22/08/2017,0,0,1,0,,,
