status_id,permalink,mitu_link,sharetext,post_type,category,date,sponsored,reposted,original,repost,repost_order,times_repost,days_bet_repost
1769264743325558_1811935049058527,https://www.facebook.com/1769264743325558_1811935049058527,https://www.wearemitu.com/fierce/11-latinas-who-have-graced-the-cover-of-vogue-magazine/,All of them slayed it.,Link,Celebrity & Gossip,23/03/2017,0,0,1,0,,,
1769264743325558_1814108968841135,https://www.facebook.com/1769264743325558_1814108968841135,https://www.wearemitu.com/fierce/this-mexicana-restauranteur-wants-women-to-know-that-being-a-mom-isnt-career-ending/,The super cute advice her dad gave her should be on a motivational poster.,Link,Identities,28/03/2017,0,0,1,0,,,
1769264743325558_1815220672063298,https://www.facebook.com/1769264743325558_1815220672063298,https://www.wearemitu.com/fierce/it-might-be-time-to-crown-leiomy-maldonado-the-queen-of-voguing/,If I tried to do this I would break my neck.,Link,Identities,30/03/2017,0,0,1,0,,,
1769264743325558_1815792882006077,https://www.facebook.com/1769264743325558_1815792882006077,https://www.wearemitu.com/fierce/regina-merson-went-from-bankruptcy-attorney-to-launching-a-successful-makeup-line/,She didn't like something so she changed it.,Link,Beauty & Fashion,31/03/2017,0,0,1,0,,,
1769264743325558_1814639335454765,https://www.facebook.com/1769264743325558_1814639335454765,https://www.wearemitu.com/fierce/the-growth-of-latina-owned-businesses-in-california-has-grown-by-more-than-110-percent/,The future is Latina.,Link,News & Issues,1/04/2017,0,0,1,0,,,
1769264743325558_1821188511466514,https://www.facebook.com/1769264743325558_1821188511466514,https://www.wearemitu.com/fierce/these-brazilian-twins-are-setting-the-model-world-on-fire/,And wait until you see their sister.,Link,Identities,10/04/2017,0,0,1,0,,,
1769264743325558_1822162271369138,https://www.facebook.com/1769264743325558_1822162271369138,https://www.wearemitu.com/fierce/this-latina-was-accepted-to-11-medical-schools-and-it-was-not-because-of-affirmative-action/,'All the hard work I had put in -- it was all worth it.',Link,Identities,12/04/2017,0,0,1,0,,,
1769264743325558_1822630544655644,https://www.facebook.com/1769264743325558_1822630544655644,https://www.wearemitu.com/fierce/meet-the-latina-that-is-making-a-splash-as-a-body-positivity-style-blogger/,'The size of your jeans does not determine your worth.',Link,Identities,13/04/2017,0,0,1,0,,,
1769264743325558_1825668281018537,https://www.facebook.com/1769264743325558_1825668281018537,https://wearemitu.com/fierce/this-latina-put-makeup-on-her-father-and-the-internet-is-living/,He woke up like this.,Link,Family & Friends,19/04/2017,0,0,1,0,,,
1769264743325558_1828477697404262,https://www.facebook.com/1769264743325558_1828477697404262,https://wearemitu.com/fierce/rosario-dawson-spoke-about-women-empowerment-at-the-premiere-of-unforgettable/,We've all been there but no one should have to put up with this craziness.,Link,TV & Movies,24/04/2017,0,0,1,0,,,
1769264743325558_1828876790697686,https://www.facebook.com/1769264743325558_1828876790697686,https://wearemitu.com/fierce/this-latina-sorority-empowers-the-latina-community/,This is the only sorority my mom would be cool with me joining lol.,Link,Identities,25/04/2017,0,0,1,0,,,
1769264743325558_1829041304014568,https://www.facebook.com/1769264743325558_1829041304014568,https://wearemitu.com/fierce/these-women-in-bolivia-are-showing-machistas-that-they-can-also-climb-mountains-and-in-their-skirts/,"I told them, 'Why can't we climb just like men do?'",Link,Identities,26/04/2017,0,0,1,0,,,
1769264743325558_1830381720547193,https://www.facebook.com/1769264743325558_1830381720547193,https://wearemitu.com/fierce/this-latina-is-graduating-from-uc-berkeley-and-is-giving-her-parents-all-the-credit/,'I just knew that they wanted to see me in a career that didn't require backbreaking work.',Link,Identities,1/05/2017,0,0,1,0,,,
1769264743325558_1832252120360153,https://www.facebook.com/1769264743325558_1832252120360153,https://wearemitu.com/fierce/these-latinas-slayed-on-the-met-gala-white-carpet/,Which was your favorite look? Screenshot and comment below.,Link,Beauty & Fashion,3/05/2017,0,0,1,0,,,
1769264743325558_1832312297020802,https://www.facebook.com/1769264743325558_1832312297020802,https://wearemitu.com/fierce/la-la-was-the-best-kind-of-petty-at-last-nights-met-gala/,"Her subtle jabs, spoke volumes.",Link,Celebrity & Gossip,3/05/2017,0,0,1,0,,,
1769264743325558_1832808306971201,https://www.facebook.com/1769264743325558_1832808306971201,https://wearemitu.com/fierce/the-brains-behind-the-fearless-girl-statue-in-new-york-just-admitted-that-she-is-latina/,This is going to bring new waves of inspiration.,Link,News & Issues,3/05/2017,0,0,1,0,,,
1769264743325558_1832795343639164,https://www.facebook.com/1769264743325558_1832795343639164,https://wearemitu.com/fierce/jessica-pimentel-plays-a-tough-character-on-oitnb-and-shreds-the-guitar-on-the-side/,Her side hustle game is strong.,Link,Celebrity & Gossip,4/05/2017,0,0,1,0,,,
1769264743325558_1833246100260755,https://www.facebook.com/1769264743325558_1833246100260755,https://wearemitu.com/fierce/zoe-saldana-summons-up-some-dark-stuff-to-get-in-character-as-gamora-in-guardians-of-the-galaxy/,I'm glued to everything she says.,Link,TV & Movies,4/05/2017,0,0,1,0,,,
1769264743325558_1833246566927375,https://www.facebook.com/1769264743325558_1833246566927375,https://wearemitu.com/fierce/first-cuban-american-elected-to-congress-set-to-retire-after-three-decades-of-service/,She's kind of a big deal.,Link,Citizenship & Politics,6/05/2017,0,0,1,0,,,
1769264743325558_1836280276624004,https://www.facebook.com/1769264743325558_1836280276624004,https://wearemitu.com/fierce/gloria-trevi-and-alejandra-guzmans-new-music-video-is-just-like-dos-mujeres-un-camino/,"Think of 'Dos Mujeres, Un Camino,' but with better clothes.",Link,Music,9/05/2017,0,0,1,0,,,
1769264743325558_1836665223252176,https://www.facebook.com/1769264743325558_1836665223252176,https://wearemitu.com/fierce/this-brazilian-woman-is-owning-the-birthmark-others-tried-to-call-ugly/,Show us how you're owning your birthmarks!,Link,Beauty & Fashion,9/05/2017,0,0,1,0,,,
1769264743325558_1836681256583906,https://www.facebook.com/1769264743325558_1836681256583906,https://wearemitu.com/fierce/her-father-couldnt-see-her-the-night-of-prom-because-of-work-so-she-dressed-up-again-for-photos/,She just wanted him to get his prom picture.,Link,Identities,9/05/2017,0,0,1,0,,,
1769264743325558_1836260696625962,https://www.facebook.com/1769264743325558_1836260696625962,https://wearemitu.com/fierce/watch-this-poet-shut-down-all-those-haters-that-only-want-to-hear-american-in-america/,"Next time someone tells you to speak ""American"" show them this.",Link,Identities,10/05/2017,0,0,1,0,,,
1769264743325558_1837180353200663,https://www.facebook.com/1769264743325558_1837180353200663,https://wearemitu.com/fierce/j-lo-announces-dance-contest-on-today-show-but-hesitates-when-asked-if-a-rod-can-dance/,You know what they say about a man who knows how to work it on the dance floor. . .,Link,Celebrity & Gossip,11/05/2017,0,0,1,0,,,
1769264743325558_1837591043159594,https://www.facebook.com/1769264743325558_1837591043159594,https://wearemitu.com/fierce/watch-lauren-jauregui-drop-some-serious-truth-bombs-about-immigration/,Her arguments will make you say 'yessssss!',Link,Identities,11/05/2017,0,0,1,0,,,
1769264743325558_1837688283149870,https://www.facebook.com/1769264743325558_1837688283149870,https://wearemitu.com/fierce/so-many-people-thought-she-was-pregnant-they-even-her-mom-called-to-ask-if-it-was-true/,"If they think that she's pregnant, then they would think I was having triplets if they saw my body.",Link,Celebrity & Gossip,11/05/2017,0,0,1,0,,,
1769264743325558_1837676303151068,https://www.facebook.com/1769264743325558_1837676303151068,https://wearemitu.com/fierce/this-little-boxer-is-destined-to-be-great-because-she-works-for-it/,"She's not afraid to box, but she can't understand why she's afraid of rollercoasters lol.",Link,Sports,12/05/2017,0,0,1,0,,,
