status_id,permalink,created_time,share_text,image_text_py,image_text_ms,ms_cv_caption,clarifai_tags,clarifai_tags_prob,reposted,original,repost,repost_order,times_repost,days_bet_repost
150424302108405_178797875937714,https://www.facebook.com/150424302108405_178797875937714,30/01/2017 13:08,,, ,a man wearing a hat,"portrait,people,adult,man,actor,illustration,lid,wear,one,business,veil,facial expression,mustache,sign,movie,music,text,vertical,confidence,cap","0.99465483,0.9943216,0.99227464,0.9676547,0.9329231,0.9188756,0.9144161,0.901324,0.88175976,0.87786657,0.86406416,0.8458758,0.82704365,0.82159215,0.8159616,0.7928675,0.78150344,0.7749961,0.7666513,0.76584744",0,1,0,,,
150424302108405_179530839197751,https://www.facebook.com/150424302108405_179530839197751,31/01/2017 17:00,"""Does the 5 second rule apply to this?""",mexican horror story,mexican horror story,a wooden table,"horizontal,wood,indoors,wall,paper,dirty,square,hanging,old,no person,dry,nature,food,stone,illustration,business,desktop,family,shape,abstract","0.97417474,0.92966795,0.9174036,0.8752705,0.8730507,0.8712209,0.86441755,0.8633842,0.84933215,0.84778076,0.82381064,0.8191877,0.81287646,0.80311537,0.78962743,0.78297067,0.75812715,0.7513267,0.7421364,0.74130315",0,1,0,,,
150424302108405_180272005790301,https://www.facebook.com/150424302108405_180272005790301,2/02/2017 17:00,"""Don't cross the boss.""","when someone takes the bag
of hot cheetos you've been
saving
I WILL FIND YOU
AND I WILL KILL YOU","when someone takes the bag
of hot cheetos you've been
saving
I WILL FIND YOU
AND I WILL KILL YOU",Liam Neeson holding a book,"portrait,people,adult,man,business,serious,indoors,sadness,vertical,worried,horizontal,actor,headshot,contemplation,despair,communication,face,attitude,anxiety,monochrome","0.9924108,0.9911394,0.9908986,0.98276293,0.9622915,0.9371329,0.93419695,0.9308485,0.9137056,0.90851843,0.9035195,0.89752024,0.88256824,0.8650855,0.86349535,0.8570797,0.85005003,0.8233306,0.81888056,0.8106276",0,1,0,,,
150424302108405_180273212456847,https://www.facebook.com/150424302108405_180273212456847,4/02/2017 17:00,"""He'll be feeling the burn.","how to be flexible:
YOGA TEQUILA","how to be flexible:
YOGA TEQUILA",person in a dress shirt and tie,"horizontal,people,adult,woman,sport,strength,yoga,fatigue,indoors,effort,man,flexibility,motion,barefoot,business,vitality,side view,outdoors,concentration,agility","0.9883586,0.9773874,0.94796175,0.9281,0.91722494,0.90982515,0.9084312,0.89592165,0.88834167,0.880973,0.87945604,0.86763144,0.8672138,0.85604453,0.8521404,0.8508105,0.8135456,0.78873074,0.7884679,0.7824779",0,1,0,,,
150424302108405_181411142343054,https://www.facebook.com/150424302108405_181411142343054,6/02/2017 17:00,"""I don't even wanna see his love life.""","when your friends hang
out without you","when your friends hang
out without you",a man laying on top of a cake,"people,adult,horizontal,man,woman,indoors,portrait,fatigue,family,concentration,vertical,child,sit,relaxation,business,technology,sleep,hand,bed,table","0.98114055,0.9734032,0.95393884,0.9274527,0.91851604,0.8960238,0.8952477,0.87542653,0.85747486,0.85292995,0.8454762,0.83498657,0.8255968,0.8112774,0.80110395,0.78908944,0.7824594,0.77457505,0.7687745,0.7629806",0,1,0,,,
150424302108405_181413932342775,https://www.facebook.com/150424302108405_181413932342775,8/02/2017 17:00,"""This is how I pregame""","me: I don't want to drink tonight
also me:","me: I don't want to drink tonight
also me:",a person on a snowboard,"people,man,adult,horizontal,family,vertical,uniform,side view,indoors,outdoors,woman,industry,business,child,expression,house,safety,togetherness,cap,portrait","0.9898156,0.9758612,0.963942,0.9429333,0.89556587,0.8360512,0.8341093,0.8304795,0.8270906,0.8157896,0.80438685,0.7800689,0.77901536,0.7786511,0.75433743,0.74836326,0.74200094,0.73933697,0.701626,0.70145744",0,1,0,,,
150424302108405_181414815676020,https://www.facebook.com/150424302108405_181414815676020,10/02/2017 17:00,"""The struggle is real.""","when la cruda is real but
you smell pozole","when la cruda is real but
you smell pozole",a cow laying on the ground,"nature,horizontal,animal,illustration,people,art,adult,portrait,old,man,travel,dark,woman,mammal,strength,beach,wildlife,head,wood,young","0.9715395,0.94740117,0.92881143,0.90798783,0.9004804,0.8801751,0.8759445,0.8737681,0.86035144,0.8560877,0.8438315,0.83686817,0.8345307,0.834162,0.8296871,0.82252383,0.81764925,0.8081995,0.79641515,0.79041445",0,1,0,,,
150424302108405_181418852342283,https://www.facebook.com/150424302108405_181418852342283,12/02/2017 17:00,"""I'd rather die than admit it's hot.""","when the food is hella spicy
but your mom didn't raise a
quitter","when the food is hella spicy
but your mom didn't raise a
quitter",a man looking at the camera,"people,man,portrait,eye,young,angry,horizontal,scared,funny,adult,love,looking,togetherness,cute,one,bald,indoors,woman,friendship,face","0.9602756,0.94133043,0.9394079,0.93097126,0.92012846,0.89134955,0.8821511,0.88211167,0.8744877,0.86573255,0.8643931,0.8565643,0.8470311,0.8467256,0.8399948,0.8354815,0.83164513,0.82582504,0.82241464,0.8083657",0,1,0,,,
150424302108405_187346255082876,https://www.facebook.com/150424302108405_187346255082876,13/02/2017 17:00,"""Papi knows what's up.""",,,a group of people standing on top of an orange,"people,desktop,fall,Halloween,woman,food,one,adult,color,young,child,portrait,person,fun,happiness,man,family,vegetable,isolated,business","0.9362023,0.9104227,0.9020796,0.90019363,0.90010405,0.8686743,0.8617765,0.85999995,0.84558785,0.8380561,0.83564705,0.83215296,0.8314061,0.8206649,0.8202672,0.8172573,0.8082939,0.80390507,0.79352283,0.75885564",0,1,0,,,
150424302108405_187351821748986,https://www.facebook.com/150424302108405_187351821748986,15/02/2017 17:00,"""Now what?""","when you finish binge watching
an entire series and you don't
know what to do with yourself
anymore","when you finish binge watching
an entire series and you don't
know what to do with yourself
anymore",a man sitting on a bench next to a laptop,"man,sit,sitting,adult,outdoors,people,laptop,technology,relaxation,lifestyle,casual,chair,leisure,summer,looking,computer,education,young,happiness,wireless","0.9905985,0.988326,0.9819406,0.979262,0.97651243,0.9762242,0.96886647,0.9644958,0.9558163,0.9513654,0.946361,0.9454839,0.9404315,0.9397005,0.93446505,0.9321721,0.9311279,0.9070139,0.9054581,0.9003359",0,1,0,,,
150424302108405_188768934940608,https://www.facebook.com/150424302108405_188768934940608,16/02/2017 17:00,"""Give me one of each.""","how to make me happy in the
morning:","how to make me happy in the
morning:",many different types of food,"food,freshness,variation,vertical,sweet,plate,fruit,cake,meal,refreshment,horizontal,chocolate,indulgence,collage,cookie,indoors,still life,epicure,pastry,bread","0.99215615,0.9681232,0.96727014,0.96426,0.9595556,0.95252776,0.94203514,0.9363317,0.92895997,0.9254235,0.9100715,0.90619767,0.8922131,0.8892374,0.88298523,0.8800704,0.8635696,0.8611094,0.85881275,0.8528518",0,1,0,,,
150424302108405_187352588415576,https://www.facebook.com/150424302108405_187352588415576,17/02/2017 17:00,"""Tough love is still love.""","**when I hurt myself**
other moms: are u ok?
my mom:
HAHAHAHA
QUÉ PENDEJO!","**when I hurt myself**
other moms: are u ok?
my mom:
HAHAHAHA
QUÉ PENDEJO!",person holding a sign,"people,man,adult,woman,portrait,sports fan,competition,football,togetherness,outdoors,soccer,victory,sport,stadium,goal,horizontal,uniform,celebration,fun,audience","0.9862511,0.9684985,0.9676067,0.93719435,0.92459905,0.8799318,0.8675943,0.85057074,0.83165723,0.827752,0.8234439,0.80099267,0.7901712,0.7858634,0.77853405,0.7757236,0.7244061,0.7243242,0.7221862,0.7127906",0,1,0,,,
