status_id,permalink,created_time,share_text,image_text_py,image_text_ms,ms_cv_caption,clarifai_tags,clarifai_tags_prob,reposted,original,repost,repost_order,times_repost,days_bet_repost
1769264743325558_1812546778997354,https://www.facebook.com/1769264743325558_1812546778997354,24/03/2017 17:05,Instant bff.,"when a girl I don't know
gives me a compliment","when a girl I don't know
gives me a compliment",Selena holding a sign,"woman,portrait,people,adult,horizontal,indoors,education,cheerful,sit,happiness,communication,contemplation,confidence,vertical,bill,fashion,business,dress,sitting,adolescent","0.99127805,0.98836476,0.98709774,0.9863874,0.96061444,0.952764,0.8971512,0.8818675,0.87477523,0.8734276,0.86902785,0.86287355,0.85847867,0.8490171,0.84744394,0.8461757,0.81746274,0.80638677,0.8035388,0.79808617",0,1,0,,,
1769264743325558_1814418732143492,https://www.facebook.com/1769264743325558_1814418732143492,28/03/2017 9:03,Never again.,"when you wake up super
early to go to the gym and
haven't had your coffee","when you wake up super
early to go to the gym and
haven't had your coffee",Shakira holding a sign,"people,indoors,woman,music,performance,adult,education,horizontal,stage,motion,musician,chalkboard,sport,business,concert,school,portrait,person,classroom,sitting","0.98053014,0.9791501,0.96946204,0.9679246,0.9492345,0.9457681,0.876313,0.86234,0.8338019,0.8305754,0.7981471,0.79767203,0.79416496,0.77621293,0.77071536,0.7613403,0.7491102,0.7411777,0.7399982,0.73487765",0,1,0,,,
1769264743325558_1814862555432443,https://www.facebook.com/1769264743325558_1814862555432443,29/03/2017 13:00,And that's when I leave...,"when you're telling your
mom a story and she starts
turning it into a lesson","when you're telling your
mom a story and she starts
turning it into a lesson",a woman in a pool of water,"woman,water,summer,people,swimming,wet,dug-out pool,leisure,relaxation,recreation,pretty,fun,girl,bikini,adult,young,sexy,H2O,light,desktop","0.99037457,0.9604484,0.9582956,0.94044137,0.9385425,0.9371714,0.93369055,0.9317616,0.92903054,0.9083723,0.90732634,0.90286636,0.8974445,0.89377046,0.88611895,0.88221824,0.8810977,0.88103235,0.8593045,0.853516",0,1,0,,,
1769264743325558_1819168841668481,https://www.facebook.com/1769264743325558_1819168841668481,6/04/2017 18:02,Download the keyboard here: http://bit.ly/mituKeyboard,"SHARE ALL THE JAJAJA AT YOUR FINGERTIPS
GET THE
gif&emoji
keyboard
by mitú","SHARE ALL THE JAJAJA AT YOUR FINGERTIPS
GET THE
gif&emoji
keyboard
by mitú",Frank Reyes et al. posing for a picture,"portrait,people,adult,woman,fashion,business,man,horizontal,contemplation,facial expression,cute,creativity,young,fun,looking,wear,face,adolescent,hair,child","0.97806436,0.9675582,0.958918,0.9482602,0.9350598,0.92430997,0.9111105,0.90532196,0.89341676,0.8745479,0.85214496,0.85062444,0.8480953,0.8464326,0.83924407,0.83915246,0.83724034,0.8306999,0.80884427,0.80683017",0,1,0,,,
1769264743325558_1819211851664180,https://www.facebook.com/1769264743325558_1819211851664180,6/04/2017 20:50,We love seeing these! :joy: Keep posting your convos below. Get the latino emojis for free here: http://bit.ly/MituGifEmojiKeyboard,"the way you guys are using
our latino emoji app is too funny
SEND US YOURS!","the way you guys are using
our latino emoji app is too funny
SEND US YOURS!",a screenshot of a person on a skateboard,"template,graph,layout,navigation,presentation,World Wide Web,diagram,banner,vectors,stripe,page,sandbank,form,arrow,set up,facts,set,label,visualization,written report","0.999148,0.99805665,0.9978616,0.99690306,0.9953787,0.9952741,0.9942244,0.9941163,0.9906775,0.99063814,0.9882505,0.9875965,0.98747456,0.98732436,0.9868744,0.98427236,0.9838915,0.98284686,0.9768704,0.9725217",0,1,0,,,
1769264743325558_1824726221112743,https://www.facebook.com/1769264743325558_1824726221112743,17/04/2017 13:00,A little motivation for your Monday.,"may your mind be as sharp
as your winged eyeliner","may your mind be as sharp
as your winged eyeliner",a woman holding a book,"woman,adult,fashion,portrait,people,horizontal,glamour,headshot,look,indoors,cute,vertical,individuality,skin,contemplation,lips,pretty,face,sexy,eye","0.9957859,0.9887769,0.98866975,0.9878473,0.9850117,0.9830801,0.97627807,0.95193684,0.93595433,0.9136979,0.91272396,0.8810736,0.8728739,0.8702364,0.86558247,0.86328876,0.8623891,0.85795224,0.85627925,0.84678924",0,1,0,,,
1769264743325558_1825784727673559,https://www.facebook.com/1769264743325558_1825784727673559,19/04/2017 16:00,It's that time of the year again. :nail_care:,"me before tax season vs
me after I get my tax return","me before tax season vs
me after I get my tax return",Angelique Boyer et al. posing for a photo,"woman,fashion,contemporary,indoors,pretty,adolescent,business,looking,young,people,cute,horizontal,casual,intelligence,wear,isolated,achievement,joy,paper,adult","0.9943507,0.95061374,0.93363595,0.93081033,0.91769266,0.91434956,0.906845,0.8933484,0.8835097,0.867996,0.8629337,0.8433883,0.8408439,0.82223725,0.789938,0.77941024,0.7762732,0.7717884,0.769368,0.76526225",0,1,0,,,
1769264743325558_1825850941000271,https://www.facebook.com/1769264743325558_1825850941000271,20/04/2017 13:00,Today and every other day.,"the only kind of bowl
I'm having on 420","the only kind of bowl
I'm having on 420
O I FIERCEBYMITU
I FIERCE",a plate of food with broccoli,"herb,food,vegetable,bowl,leaf,isolate,horizontal,meal,freshness,risotto,pesto,plate,broccoli,condiment,flora,spice,cooking,healthy,traditional,health","0.9899603,0.9816196,0.95859635,0.9555192,0.92636514,0.92259336,0.89121187,0.8804538,0.8686501,0.8482654,0.8427576,0.83930606,0.8173845,0.7832638,0.7802355,0.7739149,0.765614,0.7562758,0.7539797,0.7538609",0,1,0,,,
1769264743325558_1829364457315586,https://www.facebook.com/1769264743325558_1829364457315586,26/04/2017,And here I am still single.,"how do you sue walter mercado?
he promised me amor.
MUCHO AMOR.","how do you sue walter mercado?
he promised me amor.
MUCHO AMOR.",a young girl sitting on a couch,"people,horizontal,indoors,child,sit,family,woman,young,fun,man,adult,retro,cute,adolescent,casual,person,education,happiness,portrait,looking","0.97770286,0.97272146,0.96775484,0.9558438,0.95132554,0.9508899,0.94695187,0.9408837,0.9336503,0.919739,0.9019412,0.8970695,0.89470446,0.8900199,0.8562181,0.85358584,0.8523072,0.8521616,0.84969085,0.840674",0,1,0,,,
1769264743325558_1836650139920351,https://www.facebook.com/1769264743325558_1836650139920351,9/05/2017 14:00,I'm so bad at this.,"me trying to remember
someone's name three seconds
after shaking their hand","me trying to remember
someone's name three seconds
after shaking their hand",a woman taking a selfie,"people,education,adult,business,solution,strategy,diagram,graph,communication,horizontal,woman,presentation,technology,science,text,research,writing,planning,success,portrait","0.9895855,0.9821259,0.9746037,0.9739978,0.95650864,0.95517707,0.95427275,0.95309025,0.952618,0.9510629,0.9497893,0.9484744,0.94518816,0.9418215,0.9417527,0.93667316,0.9349663,0.934816,0.9336773,0.93290967",0,1,0,,,
