status_id,permalink,post_type,video_repost_sharetext,created_time,date,sponsored,video_meme,series,category,format,reposted,original,repost,repost_order,times_repost,days_bet_repost
150424302108405_256444434839724,https://www.facebook.com/150424302108405_256444434839724,video,"""Belt buckle con Alacran Compadre!"" (Check out the new special on Netflix!)",19/06/2017 11:00,19/06/2017,0,0,NA,Latino Culture,Square,0,1,0,,,
150424302108405_286995341784633,https://www.facebook.com/150424302108405_286995341784633,video,"""I have scars that tell the untold recollections of my youth""",27/08/2017 10:00,27/08/2017,0,0,NA,Latino Culture,Regular,0,1,0,,,
150424302108405_220238001793701,https://www.facebook.com/150424302108405_220238001793701,video,"""This would definitely snap me out of a hangover.""",9/04/2017 16:00,9/04/2017,0,0,NA,Food & Beverages,Square,1,1,0,0,1,0
150424302108405_251526881998146,https://www.facebook.com/150424302108405_251526881998146,video,"""This would definitely snap me out of a hangover.""",11/06/2017 11:00,11/06/2017,0,0,NA,Food & Beverages,Square,1,0,1,1,1,63
150424302108405_223680684782766,https://www.facebook.com/150424302108405_223680684782766,video,#BallinOnABudget,16/04/2017 11:00,16/04/2017,0,0,NA,Beauty & Fashion,Square,0,1,0,,,
150424302108405_212165085934326,https://www.facebook.com/150424302108405_212165085934326,video,"A cop, playing soccer?!",29/03/2017 16:00,29/03/2017,0,0,Pranks,Sports,Square,1,1,0,0,1,0
150424302108405_258449131305921,https://www.facebook.com/150424302108405_258449131305921,video,"A cop, playing soccer?!",24/06/2017 11:00,24/06/2017,0,0,Pranks,Sports,Square,1,0,1,1,1,87
150424302108405_206228923194609,https://www.facebook.com/150424302108405_206228923194609,video,A well balanced diet,19/03/2017 16:00,19/03/2017,0,0,NA,Food & Beverages,Square,0,1,0,,,
150424302108405_204290263388475,https://www.facebook.com/150424302108405_204290263388475,video,Be careful who you reject.,15/03/2017 16:00,15/03/2017,0,0,Pranks,Sex & Relationships,Square,1,1,0,0,1,0
150424302108405_253512305132937,https://www.facebook.com/150424302108405_253512305132937,video,Be careful who you reject.,13/06/2017 11:03,13/06/2017,0,0,Pranks,Sex & Relationships,Square,1,0,1,1,1,90
150424302108405_286934908457343,https://www.facebook.com/150424302108405_286934908457343,video,Blow THIS!,25/08/2017 15:31,25/08/2017,0,0,NA,Live,Regular,0,1,0,,,
150424302108405_193114587839376,https://www.facebook.com/150424302108405_193114587839376,video,Can I be real with you? I still do this.,22/02/2017 16:00,22/02/2017,0,0,NA,Food & Beverages,Square,1,1,0,0,1,0
150424302108405_259913214492846,https://www.facebook.com/150424302108405_259913214492846,video,Can I be real with you? I still do this.,27/06/2017 20:00,27/06/2017,0,0,NA,Food & Beverages,Square,1,0,1,1,1,125
150424302108405_280779639072870,https://www.facebook.com/150424302108405_280779639072870,video,Catch me on the next FIFA!,9/08/2017 10:00,9/08/2017,0,1,Video Memes,Sports,Square,0,1,0,,,
150424302108405_281854945632006,https://www.facebook.com/150424302108405_281854945632006,video,"Danny's never changed a tire, help this bad hombre change a tire.",11/08/2017 15:01,11/08/2017,0,0,Live,Other,Regular,0,1,0,,,
150424302108405_240358576448310,https://www.facebook.com/150424302108405_240358576448310,video,"Don't be cheap, leave a light on.",17/05/2017 7:00,17/05/2017,0,0,Sketch,Latino Culture,Square,0,1,0,,,
150424302108405_279329905884510,https://www.facebook.com/150424302108405_279329905884510,video,"Guys are more dramatic then girls, tbh.",5/08/2017 16:00,5/08/2017,0,0,Sketch,Family & Friends,Square,0,1,0,,,
150424302108405_232941933856641,https://www.facebook.com/150424302108405_232941933856641,video,Has this really ever happened though? Special shout-out and thanks to the super talented Jay Mendoza! Follow him on his Facebook page for more hilarious latin content.,30/04/2017 11:07,30/04/2017,0,0,Sketch,Sex & Relationships,Square,1,1,0,0,1,0
150424302108405_262182494265918,https://www.facebook.com/150424302108405_262182494265918,video,Has this really ever happened though? Special shout-out and thanks to the super talented Jay Mendoza! Follow him on his Facebook page for more hilarious latin content.,2/07/2017 16:00,2/07/2017,0,0,Sketch,Sex & Relationships,Square,1,0,1,1,1,63
150424302108405_222387644912070,https://www.facebook.com/150424302108405_222387644912070,video,Here's to everyone that made it through lent.,13/04/2017 7:00,13/04/2017,0,0,NA,Food & Beverages,Square,0,1,0,,,
150424302108405_230213257462842,https://www.facebook.com/150424302108405_230213257462842,video,I still do this even if my GF is home.,28/04/2017 20:00,28/04/2017,0,0,Sketch,Sex & Relationships,Square,0,1,0,,,
150424302108405_255062708311230,https://www.facebook.com/150424302108405_255062708311230,video,If I showed this to my mom she would kill me.,16/06/2017 11:00,16/06/2017,0,0,NA,Food & Beverages,Square,1,1,0,0,1,0
150424302108405_279983092485858,https://www.facebook.com/150424302108405_279983092485858,video,If I showed this to my mom she would kill me.,6/08/2017 16:00,6/08/2017,0,0,NA,Food & Beverages,Square,1,0,1,1,1,51
150424302108405_200116233805878,https://www.facebook.com/150424302108405_200116233805878,video,If only this were real.,8/03/2017 16:00,8/03/2017,0,0,Sketch,Latino Culture,Square,1,1,0,0,1,0
150424302108405_261122467705254,https://www.facebook.com/150424302108405_261122467705254,video,If only this were real.,29/06/2017 7:00,29/06/2017,0,0,Sketch,Latino Culture,Square,1,0,1,1,1,113
150424302108405_269115970239237,https://www.facebook.com/150424302108405_269115970239237,video,"If you haven’t made a Cup O’ Noodles like this, don’t talk to me.",16/07/2017 16:00,16/07/2017,0,0,NA,Food & Beverages,Square,0,1,0,,,
150424302108405_236251186859049,https://www.facebook.com/150424302108405_236251186859049,video,"If you're not first, you're last.",7/05/2017 16:01,7/05/2017,0,0,Sketch,Other,Square,0,1,0,,,
150424302108405_210110956139739,https://www.facebook.com/150424302108405_210110956139739,video,"I'm watching, how bout Y'all?",26/03/2017 16:00,26/03/2017,0,1,Video Memes,Music,Square,0,1,0,,,
150424302108405_268505756966925,https://www.facebook.com/150424302108405_268505756966925,video,Jump shot? or Knuckle shot?,14/07/2017 11:00,14/07/2017,0,0,NA,Other,Square,0,1,0,,,
150424302108405_285770155240485,https://www.facebook.com/150424302108405_285770155240485,video,"Mexicans have their Tequila, Peruvians have their Pisco!",22/08/2017 10:00,22/08/2017,0,0,NA,Food & Beverages,Square,0,1,0,,,
150424302108405_286189585198542,https://www.facebook.com/150424302108405_286189585198542,video,Not even Hollywood can stop us.,24/08/2017 10:00,24/08/2017,0,0,NA,Celebrity & Gossip,Square,0,1,0,,,
150424302108405_244696969347804,https://www.facebook.com/150424302108405_244696969347804,video,"Not the elote! Please tell me, not the elote!",26/05/2017 16:00,26/05/2017,0,0,Mexican Horror Story,Food & Beverages,Square,0,1,0,,,
150424302108405_238008003350034,https://www.facebook.com/150424302108405_238008003350034,video,Only true 2000's kids will understand.,15/05/2017 7:00,15/05/2017,0,0,NA,Beauty & Fashion,Square,0,1,0,,,
150424302108405_188831398267695,https://www.facebook.com/150424302108405_188831398267695,video,Petty Level: 1000,15/02/2017 16:00,15/02/2017,0,0,Sketch,Sex & Relationships,Square,1,1,0,0,1,0
150424302108405_229183864232448,https://www.facebook.com/150424302108405_229183864232448,video,Petty Level: 1000,23/04/2017 16:00,23/04/2017,0,0,Sketch,Sex & Relationships,Square,1,0,1,1,1,67
150424302108405_196576717493163,https://www.facebook.com/150424302108405_196576717493163,video,Share to see what your friends think.,1/03/2017 16:02,1/03/2017,0,0,NA,Food & Beverages,Square,0,1,0,,,
150424302108405_276677916149709,https://www.facebook.com/150424302108405_276677916149709,video,Sneaker history 45 years in the making,28/07/2017 16:00,28/07/2017,0,0,NA,Beauty & Fashion,Square,0,1,0,,,
150424302108405_259307384553429,https://www.facebook.com/150424302108405_259307384553429,video,Somebody get Rosetta Stone for my guy here.,25/06/2017 11:00,25/06/2017,0,0,NA,Sex & Relationships,Square,0,1,0,,,
150424302108405_241564236327744,https://www.facebook.com/150424302108405_241564236327744,video,Sometimes it does get a little awkward.,21/05/2017 11:00,21/05/2017,0,0,Sketch,Other,Square,0,1,0,,,
150424302108405_274260043058163,https://www.facebook.com/150424302108405_274260043058163,video,Tag a friend who can sing!,23/07/2017 11:00,23/07/2017,0,1,Video Memes,Sex & Relationships,Square,0,1,0,,,
