status_id,permalink,post_type,video_repost_sharetext,created_time,date,sponsored,video_meme,series,category,format,reposted,original,repost,repost_order,times_repost,days_bet_repost
1769264743325558_1812443659007666,https://www.facebook.com/1769264743325558_1812443659007666,video,"If your hoop earrings could talk, what would they say about you?",24/03/2017 17:00,24/03/2017,0,0,NA,Beauty & Fashion,Square,0,1,0,,,
1769264743325558_1814481048803927,https://www.facebook.com/1769264743325558_1814481048803927,video,Be true to yourself and OWN it <3,28/03/2017 17:00,28/03/2017,0,0,NA,Identities,Square,0,1,0,,,
1769264743325558_1814964035422295,https://www.facebook.com/1769264743325558_1814964035422295,video,Fierce Makeup Moments,29/03/2017 17:00,29/03/2017,0,0,NA,Beauty & Fashion,Square,0,1,0,,,
1769264743325558_1815359318716100,https://www.facebook.com/1769264743325558_1815359318716100,video,1 Lipstick + 9 Skin Tones,31/03/2017 17:00,31/03/2017,0,0,NA,Beauty & Fashion,Square,0,1,0,,,
1769264743325558_1815463052039060,https://www.facebook.com/1769264743325558_1815463052039060,video,A Tribute To 5 Iconic Afro-Latinas,3/04/2017 17:00,3/04/2017,0,0,NA,Latino Culture,Square,0,1,0,,,
1769264743325558_1817432891842076,https://www.facebook.com/1769264743325558_1817432891842076,video,How To Fall In Love With Yourself,4/04/2017 17:00,4/04/2017,0,0,NA,Others,Square,0,1,0,,,
1769264743325558_1819180581667307,https://www.facebook.com/1769264743325558_1819180581667307,video,We really made this! Download the keyboard here: http://bit.ly/GifEmojiKeyboard,6/04/2017 16:50,6/04/2017,0,0,We Are Mitú Share,Other,Square,0,1,0,,,
1769264743325558_1819213671663998,https://www.facebook.com/1769264743325558_1819213671663998,video,Cardi B is my idol <3,7/04/2017 17:00,7/04/2017,0,0,NA,Celebrity & Gossip,Square,0,1,0,,,
1769264743325558_1821163841468981,https://www.facebook.com/1769264743325558_1821163841468981,video,Heart Beats: Afro-Cubana Hip Hop.,10/04/2017 17:00,10/04/2017,0,0,NA,Identities,Square,0,1,0,,,
1769264743325558_1822163838035648,https://www.facebook.com/1769264743325558_1822163838035648,video,7 ways to live your best life.,12/04/2017 17:00,12/04/2017,0,0,NA,Other,Square,0,1,0,,,
1769264743325558_1823149111270454,https://www.facebook.com/1769264743325558_1823149111270454,video,Wear your favorite red lipstick in honor of Selena <3,14/04/2017 16:00,14/04/2017,0,0,NA,Beauty & Fashion,Square,0,1,0,,,
